name,1986-06-30,1987-06-30,1988-06-30,1989-06-30,1990-06-30,1991-06-30,1992-06-30,1993-06-30,1994-06-30,1995-06-30,1996-06-30,1997-06-30,1998-06-30,1999-06-30,2000-06-30,2001-06-30,2002-06-30,2003-06-30,2004-06-30,2005-06-30,2006-06-30,2007-06-30,2008-06-30,2009-06-30,2010-06-30,2011-06-30,2012-06-30,2013-06-30,2014-06-30,2015-06-30,2016-06-30,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30,2023-06-30,2024-06-30,2025-06-30,2026-06-30
Other Intangible Assets,,,7900000,,,,,,,,,,,,,1912000000,1669000000,3512000000,3684000000,3808000000,539000000,878000000,1973000000,1759000000,1158000000,744000000,3170000000,3083000000,6981000000,4835000000,3733000000,10106000000,8053000000,7750000000,7038000000,7800000000,11298000000,9366000000,27597000000,22604000000,18609000000
Investments And Advances,,,,,,,,,,,,,,,,,,,,,,,,,7754000000,10865000000,9776000000,10844000000,14597000000,12053000000,10431000000,6023000000,1862000000,2649000000,2965000000,5984000000,6891000000,9879000000,14600000000,15133000000,36348000000
Other Non Current Assets,3200000,4800000,9700000,52900000,60000000,85500000,103600000,88000000,121000000,398000000,928000000,2549000000,4963000000,15312000000,19939000000,15399000000,15133000000,14863000000,13984000000,12303000000,10527000000,1509000000,1691000000,1599000000,1501000000,-1033000000,1520000000,2392000000,3422000000,3117000000,2166000000,5719000000,7442000000,14723000000,13138000000,15075000000,21897000000,30601000000,36460000000,40837000000,38805000000
Current Liabilities,29500000,46600000,117600000,158800000,186800000,293400000,446900000,563000000,913000000,1347000000,2425000000,3610000000,5730000000,8802000000,9755000000,9254000000,12744000000,13974000000,14969000000,16877000000,22442000000,23754000000,29886000000,27034000000,26147000000,28774000000,32688000000,37417000000,45625000000,49647000000,59357000000,64527000000,58488000000,69420000000,72310000000,88657000000,95082000000,104149000000,125286000000,141218000000,168825000000
Current Debt And Capital Lease Obligation,,5100000,20300000,25400000,6500000,19500000,8300000,,,,,,,,,742000000,1145000000,1416000000,1339000000,1662000000,3495000000,2325000000,8796000000,2000000000,1000000000,5363000000,1231000000,2999000000,2000000000,7484000000,12904000000,10121000000,3998000000,5516000000,3749000000,8072000000,2749000000,5247000000,8942000000,2999000000,18905300000
Current Debt,,5100000,20300000,25400000,6500000,19500000,8300000,,,,,,,,,742000000,1145000000,1416000000,1339000000,1662000000,3495000000,2325000000,8796000000,2000000000,1000000000,5363000000,1231000000,2999000000,2000000000,7484000000,12904000000,10121000000,3998000000,5516000000,3749000000,8072000000,2749000000,5247000000,8942000000,2999000000,18905300000
Current Capital Lease Obligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5568000000,6188000000,7671000000,9629000000,11489000000,12728000000,15497000000,17437000000,16532000000
Other Current Liabilities,29500000,41500000,97300000,91400000,129300000,188000000,251100000,324000000,589000000,784000000,1617000000,2889000000,4971000000,7928000000,3856000000,3671000000,3594000000,5176000000,6738000000,7289000000,10395000000,9728000000,9207000000,8707000000,6396000000,3492000000,7840000000,8359000000,12261000000,11743000000,12087000000,12914000000,16968000000,21846000000,20031000000,23897000000,27795000000,29906000000,25820000000,37344000000,34538700000
Total Non Current Liabilities Net Minority Interest,1900000,2100000,-100000,,-100000,,,,,405000000,635000000,,,1385000000,1027000000,2287000000,2722000000,2846000000,4574000000,5823000000,7051000000,8320000000,6621000000,11296000000,13791000000,22847000000,22220000000,26070000000,36975000000,44742000000,62340000000,104165000000,117642000000,114806000000,110697000000,103134000000,103216000000,101604000000,118400000000,134306000000,147164000000
Long Term Debt And Capital Lease Obligation,,,,,,,,,,,,,,,,,,,,,,,,3756000000,4939000000,11921000000,10713000000,12601000000,20645000000,27808000000,40783000000,76073000000,77810000000,72850000000,67249000000,59703000000,58521000000,54718000000,58185000000,57589000000,
Long Term Debt,,,,,,,,,,,,,,,,,,,,,,,,3756000000,4939000000,11921000000,10713000000,12601000000,20645000000,27808000000,40783000000,76073000000,72242000000,66662000000,59578000000,50074000000,47032000000,41990000000,42688000000,40152000000,31067000000
Long Term Capital Lease Obligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5568000000,6188000000,7671000000,9629000000,11489000000,12728000000,15497000000,17437000000,16532000000
