Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Economic CI (real),-11846.3224325735,15624.0098681094,19635.5034073441,4493.76349317839,7621.25854428377,26515.5171427292,9910.46933059601,16821.4586596338,13898.9184284542,87332.0159753064,40850.8291141524,44105.9280459031,45758.6403634985,40741.5251455427,-9646.1600968783,16629.1381360837,13333.1373722678,13837.203849685
ROE unadjusted,,0.135874528892474,0.144200725210691,0.0305486852877812,0.0544010755629011,0.191803696600092,0.0680441573304766,0.100408351790643,0.0728728522298354,0.414609085719663,0.161137995708179,0.164823580886202,0.190475357933166,0.174175562954415,-0.0486509859090043,0.105112834148916,0.082230381912599,0.0844018847706196
ROE ADJUSTED (premium),,0.128533655659235,0.134242137562265,0.027962599582891,0.0473168036181319,0.15688591072316,0.0545002497744618,0.0823150464883121,0.061010260150793,0.352084539189502,0.140345843011235,0.144258690163502,0.163585685238981,0.148590979168441,-0.0403310290513419,0.0832557713104015,0.065443695716339,0.0668858895450232
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0548806713262307,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.947974521841193,0.898655694060038,0.85190270187643,0.807582056466529,0.765567213826385,0.725738213464362,0.68798133589076,0.652188777926708,0.618258344905263,0.586093158885894,0.55560138204925,0.526695954482443,0.499294345606185,0.473318318534034,0.448693706690979,0.425350202053533,0.403221154406753
RI without = CI − r·CSE(prior),,9821.48979767733,12816.7300336155,-3633.42969808843,-397.62819971788,19157.5099215572,2094.73999559304,8650.7100556258,3681.29739062196,76615.037893666,28448.0067375916,28682.6512313342,31810.3560505756,28321.4127338299,-22900.398471413,8120.70379409284,4477.02680641296,4896.20554031528
RI with = (CI+Δres) − r·adjbase(prior),,14547.6713642997,14438.051068839,642.64151603808,8573.73761264408,27471.1365534759,1257.03563230971,6773.81231213168,2036.98833929493,74831.4698517891,26430.4504387691,27756.0149650913,31233.3285690828,26136.4606282244,-23882.1582695431,5874.64108768683,2280.33205943767,5213.29453094762
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,188716.097299657,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,188716.097299657,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
