ticker,risk_group,group_score,group_change,semidev,spread_30y_pp,credit_n_fit,put_iv_365d,has_put_iv,block_volatility,block_credit,block_industry,block_within_industry,within_group_n,within_group_shrink,within_group_ranked_on,n_blocks,weight_per_block,combined_score,cap_weight,suggested_idio_erp_pct,floor_applied,reliability
DVN,Energy & Commodities,7.50,,24.365408,,,38.05,True,70.3,,72.5,60.11,29,0.906,1,3,0.3333,67.637,0.0006044733944842078,5.3802,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
DXCM,Healthcare - Innovation,5.00,moved,37.987445,,,44.61,True,86.28,,45.0,77.92,27,0.9,1,3,0.3333,69.731,0.0004719776105515227,5.5468,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
EBAY,Software & Digital Platforms,5.50,,24.870345,1.1381,7,36.01,True,65.02,64.88,50.5,31.73,35,0.921,2,4,0.25,53.031,0.0006283670620378083,4.2184,,full
ECHO,Telecom & Cable,7.00,split,46.132091,,,56.75,True,95.49,,67.0,70.3,6,0.667,1,3,0.3333,77.597,0.0004254685911623914,6.1725,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
ECL,Materials & Packaging,4.50,,13.490335,0.7345,7,,False,11.73,7.36,39.5,12.5,19,0.864,2,4,0.25,17.774,0.0010649762795513157,1.4138,,full
ED,Regulated & Monopoly Assets,1.50,,12.426361,0.9969,26,21.74,True,4.04,44.14,6.5,45.53,28,0.903,2,4,0.25,25.052,0.0005385906587536958,1.9928,,full
EFX,Fee-Based Financials,3.50,moved,25.100251,1.4403,4,,False,76.94,83.68,28.5,85.15,21,0.875,2,4,0.25,68.569,0.0002914168329482207,5.4543,,full
EG,Insurance Underwriters,5.00,,18.390206,,,,False,47.52,,45.0,82.95,18,0.857,1,3,0.3333,58.488,0.0001989733430915839,4.6524,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
EIX,Regulated & Monopoly Assets,1.50,,20.537347,1.3565,35,32.28,True,48.55,79.81,6.5,91.9,28,0.903,2,4,0.25,56.69,0.0003834144509611272,4.5094,,full
EL,Consumer Services & Retail,5.00,moved,34.271588,0.9853,5,45.77,True,86.06,41.65,45.0,50.5,17,0.85,2,4,0.25,55.802,0.00041399061207675905,4.4388,,full
ELV,Healthcare - Services,7.50,,30.001889,1.0556,16,35.41,True,68.61,54.92,72.5,42.72,11,0.786,2,4,0.25,59.689,0.0011667660406569592,4.748,,full
EME,Heavy Cyclicals,7.00,,25.620057,,,,False,78.33,,67.0,48.0,18,0.857,1,3,0.3333,64.445,0.0004994130116587232,5.1263,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
EMR,Quality Industrials,4.00,,16.341013,0.6526,3,32.35,True,36.78,3.21,34.0,19.25,44,0.936,2,4,0.25,23.309,0.0011902581842421105,1.8541,,full
EOG,Energy & Commodities,7.50,,18.887151,0.9258,3,33.85,True,50.21,32.8,72.5,28.07,29,0.906,2,4,0.25,45.896,0.001057585764719354,3.6508,,full
EQIX,Contracted Infrastructure,5.00,,17.538303,1.0686,6,,False,40.16,56.58,45.0,50.5,15,0.833,2,4,0.25,48.062,0.0014393816227512967,3.8231,,full
EQR,Real Estate,4.50,,13.680841,0.8054,6,,False,12.53,14.83,39.5,11.52,21,0.875,2,4,0.25,19.594,0.00033046516109162306,1.5586,,full
EQT,Energy & Commodities,7.50,,24.254992,0.8713,2,33.91,True,60.45,25.61,72.5,34.48,29,0.906,2,4,0.25,48.259,0.00044692210969904844,3.8388,,credit spread fit on only 2 bonds -- treat with caution
ERIE,Fee-Based Financials,3.50,,23.586148,,,,False,72.37,,28.5,76.49,21,0.875,1,3,0.3333,59.118,0.0001806710096797786,4.7026,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
ES,Regulated & Monopoly Assets,1.50,,19.167445,0.9076,19,,False,50.1,30.31,6.5,85.27,28,0.903,2,4,0.25,43.047,0.00036605515150382896,3.4242,,full
ESS,Real Estate,4.50,,15.204407,1.0825,1,,False,22.47,58.8,39.5,63.49,21,0.875,2,4,0.25,46.065,0.00024588083575435,3.6642,,credit spread fit on only 1 bond -- treat with caution
ETN,Quality Industrials,4.00,,19.35897,0.7356,6,42.38,True,65.58,7.64,34.0,51.58,44,0.936,2,4,0.25,39.7,0.0022587391704240456,3.1579,,full
ETR,Regulated & Monopoly Assets,1.50,,13.929711,0.9945,19,25.19,True,11.08,43.31,6.5,58.78,28,0.903,2,4,0.25,29.918,0.000677591573465024,2.3798,,full
EVRG,Regulated & Monopoly Assets,1.50,,11.357051,0.846,3,,False,2.19,19.8,6.5,12.41,28,0.903,2,4,0.25,10.228,0.00026524688144852275,1.096,credit floor applied (0.814 -> 1.096),full
EW,Healthcare - Established,3.50,,22.388024,0.9472,1,34.16,True,56.89,35.29,28.5,80.82,21,0.875,2,4,0.25,50.375,0.000706516116362206,4.0071,,credit spread fit on only 1 bond -- treat with caution
EXC,Regulated & Monopoly Assets,1.50,,13.061169,1.007,51,24.92,True,8.08,46.08,6.5,55.47,28,0.903,2,4,0.25,29.031,0.0006262332643136302,2.3093,,full
EXE,Energy & Commodities,7.50,,21.459508,,,33.37,True,53.43,,72.5,47.3,29,0.906,1,3,0.3333,57.743,0.00030588120990702783,4.5932,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
EXPD,Transport & Logistics,5.00,,20.476458,,,,False,58.45,,45.0,43.9,6,0.667,1,3,0.3333,49.117,0.0003318139194271959,3.907,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
EXPE,Travel & Leisure,7.00,,28.049074,0.927,4,47.68,True,85.36,33.08,67.0,27.16,11,0.786,2,4,0.25,53.15,0.0005348262079955224,4.2278,,full
EXR,Real Estate,4.50,,17.973617,1.1854,3,,False,43.14,69.58,39.5,85.15,21,0.875,2,4,0.25,59.344,0.00043524033283103057,4.7205,,full
F,Heavy Cyclicals,7.00,,22.477886,2.0921,16,41.66,True,69.92,96.13,67.0,72.96,18,0.857,2,4,0.25,76.502,0.0007467002694305833,6.0854,,full
FANG,Energy & Commodities,7.50,,23.347003,1.0163,4,37.62,True,66.56,48.84,72.5,50.5,29,0.906,2,4,0.25,59.599,0.000794013735536244,4.7408,,full
FAST,Quality Industrials,4.00,,16.722341,,,29.11,True,25.39,,34.0,34.33,44,0.936,1,3,0.3333,31.242,0.0007929090836065385,2.4852,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
