Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Clean-surplus residual (dirty),,849.827,367.707,863.553,790.716,1275.929,880.633,1084.96,1232.736,1004.498,568.504,463.501,388.057,596.434,1092.946,1157.181,440.388,700.249999999999
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,2804.73429135187,2802.6896303974,2458.52202189284,1976.50939061155,2077.04855468261,2196.85352838055,2433.79453283431,2599.36939303351,2777.59126962484,3197.07427486867,3037.59536061193,3079.34113847779,2715.37651716756,2014.76188562227,2184.38121203497,3009.85556725599,4086.712441099,5245.78454504639
Active NFO,3149.54573363121,4250.70277503181,4472.48335800437,4994.29349747265,5541.03578765996,5911.31008983685,6091.01793949378,6423.78067349178,6717.26362675255,6595.80497245023,6380.57472350831,6578.18277941148,8389.81546018523,8671.8904449201,10285.6337521074,11672.6677150199,12852.3867429779,12489.530801527
Active CSE,-344.811442279337,-1448.01314463441,-2013.96133611153,-3017.7841068611,-3463.98723297734,-3714.4565614563,-3657.22340665947,-3824.41128045827,-3939.67235712772,-3398.73069758155,-3342.97936289638,-3498.84164093368,-5674.43894301767,-6657.12855929783,-8101.25254007246,-8662.81214776394,-8765.67430187892,-7243.74625648059
Active OI-after-tax,923.835085236221,967.116669341087,1078.26431143683,1214.80833859844,1300.88099576976,1405.00901292694,1431.10406023726,1534.24801677579,1620.93968555325,1930.68633915714,2034.09385385897,2371.90330542403,2511.2025539312,2909.87554284599,2970.05020179036,3076.2024646147,3251.84460720312,3009.37832824752
Active NI,803.755287081743,827.208477021804,922.890797397817,1051.90319374627,1136.47502139065,1233.95832471049,1277.02507646058,1396.0443458961,1486.63068533866,1788.91597704687,1839.95620432067,2179.04148252923,2307.54752229084,2719.16022990937,2796.89214772472,2807.23716433547,2859.26853560961,2605.48868264475
Active RNOA,0.329384173069363,0.34506734490039,0.438582327851865,0.614623104938836,0.626312270282262,0.63955516140517,0.588013507685322,0.590238548198528,0.583577469903335,0.60389161250764,0.669639505062056,0.770263247480444,0.924808231217475,1.4442776407532,1.35967576786813,1.02204321631925,0.795711627395205,0.573675548891784
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,10152.709450579,10648.3940269138,11315.3622556316,12027.4337961803,12558.4831491633,13159.2856028795,13413.2338068524,14404.0804786998,14850.6487233622,14886.7728751142,14975.4526455694,15551.3564869689,16356.5794225941,18093.1852749566,18610.6373521382,19200.1110977512,19753.6862400785,19714.0476953715
Real COGS,5065.91360238826,5311.64261234659,5610.90659051803,5890.09523350775,6089.33674103417,6339.15845492945,6427.3894968995,6872.08652968775,7019.14199844171,7039.68298746736,7002.99596073785,7207.91887281005,7589.42865381302,8548.19039524671,8908.49699591669,9224.11149188716,9265.84663653491,9339.55697402646
Real gross profit,5086.79584819069,5336.75141456718,5704.45566511355,6137.33856267255,6469.14640812913,6820.12714795005,6985.84430995286,7531.9939490121,7831.50672492052,7847.08988764687,7972.45668483157,8343.43761415882,8767.15076878108,9544.99487970993,9702.14035622149,9975.99960586409,10487.8396035436,10374.4907213451
Real SG&A,3337.17464224837,3499.04920829507,3676.18509006861,3910.8286024211,4091.35155535423,4269.4164114021,4395.43168339416,4770.5367106157,4539.30971226673,4561.59387034922,5095.17695698646,5438.45758290209,5636.60438737921,5903.34184866959,5956.7865619347,6155.1759477391,6440.25364712183,6616.53881933759
