Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
NBC,0.048687664618086,-0.0718927612612613,-0.0869768537414966,-0.0682427418665038,0.0976570572390572,-0.132913507094386,-0.0826685291129348,-0.0239319950310559,0.103512257084329,0.00172212322346159,0.0240912282112033,0.00827919684898398,0.00816226188308141,0.00666119282352941,0.00690900390763766,0.0360559012059218,0.0170396438994351,0.0164693643410853
Spread,0.159385805722742,0.307610934841116,0.290908257156492,0.267416215712842,0.0569319730435143,0.329831625019572,0.29029090749953,0.233708168046771,0.0787961022809953,0.0106730981948566,0.182278793659982,0.205453733298106,0.219155879822403,0.206014009965771,0.158921170614315,0.162966663337242,0.156300882564617,0.148412016847791
ROCE,0.124630815843942,0.151457897655796,0.126149259891719,0.0804947562825741,0.0743318255640424,0.147340961535382,0.0486057577928605,-0.0117168643278436,-0.000858051377025452,-0.174258245637355,0.0800324005810116,0.0839114435675318,0.083753574553253,0.120798030344124,0.0829130293010454,0.109171831023141,0.106029364308255,0.0851835503985402
Reported ROE (memo),0.304603514384512,0.242468569621254,0.235670478446067,0.169446391030133,0.167417394255391,0.186771636530593,0.234014795274687,0.216570625439213,0.234883126473345,0.0216090425531915,0.256008167090641,0.2542247481966,0.232529473118619,0.282047471731759,0.233594604447685,0.511137930031698,0.196754790879843,0.328705974688512
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),11675,7457,8601,8681,19533,10824,14892,13463,17600,15301,15362,16663,13702,14488,17717,16824,14255,18334
Reported CI (nom) = NI+OCI,7994,9208,9803,4040,5043,10971,5601,2244,1639,-11899,75,-772,-528,7820,4974,22626,2325,11874
ΔCSE (nom),,8077,5991,501,7746,9227,-4301,1398,-732,-10258,-408,-281,3807,10745,2781,-8030,2716,10054
Clean-surplus residual (dirty),,6326,4789,5142,22236,9080,4990,12617,15229,16942,14879,17154,18037,17413,15524,-13832,14646,16514
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,82748.0981395853,76914.1641631724,87100.419200429,82926.0588258809,107430.01483695,109351.607279888,101430.45126657,85483.630957227,118253.368808299,148103.364408453,139848.175084399,134861.293710487,122497.935245468,136595.036385434,143621.650589599,125953.74920543,133595.504950302,151470.36334146
Active NFO,10637.2441721667,-7629.17693451479,-6325.74324026855,-9753.97899430512,6069.1543942786,-4663.81678163781,-7245.03038828062,-26178.7228131316,8179.55532130313,54543.6197984661,47316.286849829,43929.8634459452,28440.2192024296,31537.2052256707,38681.911944098,33653.959202762,39901.0131914093,50489.70156829
Active CSE,72110.8539674186,84543.3410976872,93426.1624406976,92680.037820186,101360.860442671,114015.424061526,108675.481654851,111662.353770359,110073.813486996,93559.7446099871,92531.8882345699,90931.4302645417,94057.7160430383,105057.831159763,104939.738645501,92299.7900026681,93694.4917588925,100980.66177317
