t,phase,df_cumulative,df_equity,annuity_equity,dri_equity,normal_eps,aeg_eps,contrib_eps,cum_contrib_eps,normal_nfe,aeg_nfe,contrib_nfe,normal_oi,aeg_oi,contrib_oi,retention_rate,retained_eps,coe,rore,pi,infl_index,eps_real,dps_real
11,continuing,0.458688702334421,0.371633419014802,0,-1.64313007644523e-14,8.04413496957725,-0.235534979510441,0,-36.44697968,10.9576321325292,0.654907386631491,0,18.9383652431455,0.482774266082018,0,,,,,0.022674,1.284391,6.079611,2.761165
12,continuing,0.424854606194499,0.339847340095014,0,-2.76167977375508e-15,8.28613852035308,-0.105355088614372,0,-36.44697968,11.8708751413293,0.633279930183937,0,20.0977966683744,0.587141834877606,0,,,,,0.022246,1.312964,6.230774,2.829818
13,continuing,0.393519486232383,0.311175958619537,0,-1.16018306073329e-14,8.67405556673059,-0.135794754596084,0,-36.44697968,12.7795889003546,0.655352987701907,0,21.3977789808421,0.575423719348908,0,,,,,0.022027,1.341885,6.362884,2.889818
14,continuing,0.364534667317602,0.285294989630878,0,2.45081732686003e-14,9.04617987323165,-0.167447357233938,0,-36.44697968,13.7299112423044,0.6597040070784,0,22.7238721505996,0.544475614780872,0,,,,,0.021955,1.371347,6.474461,2.940493
15,continuing,0.337737895793776,0.26189504250808,0,1.11022302462516e-15,9.40083172120095,-0.199928430823478,0,-36.44697968,14.7075284218872,0.665753270912944,0,24.0598649368909,0.514320046286766,0,,,,,0.022093,1.401644,6.564363,2.981324
16,continuing,0.313023668520253,0.240782892130523,0,-3.31956684362922e-14,9.73470974988777,-0.273646271674036,0,-36.44697968,15.7171062650635,0.656838697889446,0,25.4079824597578,0.427025981408864,0,,,,,0.022365,1.432992,6.602313,2.998559
17,continuing,0.290194389527504,0.221619611667774,0,1.47104550762833e-14,10.0053155179543,-0.238558906115665,0,-36.44697968,16.7462884714105,0.652485036954392,0,26.7113219285355,0.454208191668041,0,,,,,0.02274,1.465579,6.664096,3.026619
18,continuing,0.26911921534782,0.204209060067551,0,1.57651669496772e-14,10.3240557538947,-0.26172065678279,0,-36.44697968,17.801939387515,0.646257479507696,0,28.0889616841096,0.421570280024991,0,,,,,0.023172,1.499539,6.710285,3.047597
19,continuing,0.24967002834078,0.188376791175401,0,6.7168492989822e-15,10.6319703699338,-0.283110068935802,0,-36.44697968,18.8842818728782,0.644010973497551,0,29.4824952807224,0.394657866651361,0,,,,,0.023638,1.534986,6.741991,3.061997
20,continuing,0.231734283267279,0.173975228255342,0,-3.22519788653608e-14,10.9295948514811,-0.302379537793854,0,-36.44697968,19.9983532585717,0.631587194098163,0,30.8975494442478,0.35960632210934,0,,,,,0.024071,1.571934,6.760599,3.070448
21,continuing,0.21534592308547,0.161010924618533,0,4.77395900588817e-14,11.2102500636993,-0.410916341653946,0,-36.44697968,21.1256494783489,0.448479728470819,0,32.3102856492545,0.0631772796105565,0,,,,,0.024029,1.609705,6.708888,3.046962
22,continuing,0.200159635340784,0.149014613685022,0,-3.530509218308e-14,11.3929173656635,-0.0527563588774047,0,-36.44697968,22.0977514582942,0.54375544935775,0,33.4633568134105,0.518311101027543,0,,,,,0.024271,1.648774,6.877934,3.123738
23,continuing,0.186089348414434,0.137912689573753,0,3.00315328161105e-14,11.9645458773617,-0.0476251186224044,0,-36.44697968,23.1958852314993,0.549226878289137,0,35.1301673743255,0.531865494202229,0,,,,,0.024485,1.689145,7.055003,3.204157
24,continuing,0.173078483217659,0.127656531015138,0,-1.5182299861749e-14,12.5722189518501,-0.0422066702141013,0,-36.44697968,24.3273186155282,0.505825884709566,0,36.8659176117102,0.49723917016361,0,,,,,0.024519,1.730561,7.240435,3.288374
25,continuing,0.161052350457448,0.118186816145781,0,1.92623694772465e-14,13.2172380988424,-0.0369807767623485,0,-36.44697968,25.4407086222593,0.5002739986652,0,38.6206536805252,0.500586262479352,0,,,,,0.024466,1.7729,7.434291,3.376417
26,continuing,0.1499209477413,0.109406837908205,0,-3.39728245535298e-14,13.9028285392543,0.0827625681044744,0,-36.44697968,26.5703513402645,0.484575958450034,0,40.4299984905533,0.610519915520023,0,,,,,0.024262,1.815914,7.701683,3.497858
27,continuing,0.139651178573206,0.101316696133278,0,2.05946371067967e-14,14.7466980044879,0.00605498680611127,0,-36.44697968,27.7004361559556,0.452334845235288,0,42.3989549606648,0.506569031820071,0,,,,,0.023859,1.85924,7.93483,3.603746
28,continuing,0.130182687636171,0.093872773062142,0,2.35367281220533e-14,15.547357112874,0.0127419142031879,0,-36.44697968,28.8084772321808,0.440572733780581,0,44.3029641786233,0.506184814415214,0,,,,,0.023291,1.902544,8.178577,3.714448
29,continuing,0.121466098006623,0.0870390141132662,0,-6.45039577307216e-14,16.3858189494483,0.0192434085173439,0,-36.44697968,29.906664199829,0.39884647242399,0,46.2351349998357,0.475438030382847,0,,,,,0.022483,1.945319,8.433097,3.830043
30,continuing,0.113442880961841,0.0807715675341167,0,4.13558076672871e-14,17.260307041409,0.0251511333353243,0,-36.44697968,30.9580590056601,0.396863029698043,0,48.156849412372,0.483530797730417,0,,,,,0.021532,1.987206,8.698372,3.950522
