Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Real EBITDA,13146.3512259467,12857.443764945,12929.6593489746,15156.1369037828,15733.385092816,14713.6082796396,13742.6250506894,12340.6909377808,12087.8133179449,12325.1217566906,13663.4553158614,15010.3203628299,13638.719215953,14544.2169981917,13934.878225214,13720.485671246,11823.1950785651,15418.3873418587
Economic depreciation,1324.81361365132,1404.94594642961,1481.79880700249,1626.80928741949,1754.21864644774,1862.07602724141,1954.29132650483,2048.3370071231,2139.78134060172,2174.39799595576,2225.10136874735,2305.85152840751,2320.9103967284,2350.04376129115,2386.20389319268,2432.69323572817,2455.87786452015,2464.85273988552
Economic OI (pretax),11821.5376122954,11452.4978185154,11447.8605419721,13529.3276163633,13979.1664463683,12851.5322523982,11788.3337241846,10292.3539306577,9948.03197734317,10150.7237607348,11438.353947114,12704.4688344224,11317.8088192246,12194.1732369005,11548.6743320213,11287.7924355178,9367.31721404492,12953.5346019731
Economic OI-after-tax,9212.26125939843,8797.58750177674,9504.7001996389,10154.9775358404,10701.0323928361,9596.50910917567,8943.50928612053,7828.53078916265,7952.37515165088,1650.81208153446,8942.04916682904,10531.0424136375,8954.2316909055,9554.79943319949,9400.10346712153,9270.62532492513,7560.9711822369,10577.3583852653
NFE after-tax (real),533.523654624766,428.083013544167,938.597787819546,468.793920820142,445.855088291519,500.599549482995,522.350757024331,928.181077496112,823.976276880158,217.161175084971,998.251938610234,1032.98781119466,1482.61229699201,1558.4564320636,827.19556519726,1387.83146230986,1439.68325438176,1413.8104394254
Economic NI,8678.73760477366,8369.50448823257,8566.10241181935,9686.18361502021,10255.1773045446,9095.90955969267,8421.15852909619,6900.34971166654,7128.39887477072,1433.65090644948,7943.7972282188,9498.05460244289,7471.61939391348,7996.34300113589,8572.90790192427,7882.79386261527,6121.28792785514,9163.54794583993
OCI (real),-4162.12919466984,-1182.491183339,-2228.45668085262,-4027.03608089304,-4940.85801458226,-4937.1434900003,-8177.90944765477,-14385.2187902134,-15645.598732537,-14088.7831062337,-17101.3397555624,-17694.9012817955,-18906.1937977907,-17722.6725836808,-17056.4558439118,-15700.1950266162,-17993.8623573029,-14709.5079346344
Comprehensive income,4516.60841010383,7187.01330489357,6337.64573096673,5659.14753412717,5314.31928996234,4158.76606969237,243.249081441422,-7484.86907854682,-8517.19985776625,-12655.1321997842,-9157.54252734357,-8196.84667935264,-11434.5744038772,-9726.32958254496,-8483.54794198751,-7817.4011640009,-11872.5744294478,-5545.95998879446
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.23967447311412,0.206136035130993,0.160280926376104,0.157998775540966,0.153378851510869,0.134922936450807,0.123621685942464,0.103666563975368,0.108101695480429,0.0220952439103559,0.122726100965792,0.132267165821546,0.11271971173271,0.120533753267239,0.130394283816658,0.126989135361489,0.109319268437538,0.132031592649831
FLEV (econ),0.212809474452676,0.132332061505891,0.473212971849988,0.523240965381049,0.524109862318226,0.527679523369966,0.659551393463905,0.84888538316359,0.815544731028673,1.12365951211162,1.23574739382808,1.36869269226748,1.40198527110517,1.11412935263601,0.951385889248026,0.892446400297304,1.01932345196118,0.853888769347628
NBC,0.0791062570966997,0.0858276150955215,0.0492755908504115,0.0212335983534651,0.018583498266107,0.0203762835226607,0.0181673252917138,0.0267702288557214,0.0249350085354517,0.00549330229984437,0.024787519883351,0.022453221186996,0.0319761394101877,0.0373059162176565,0.0235353451275535,0.0403121267970098,0.0412363255813953,0.0383154736515459
Spread,0.16056821601742,0.120308420035472,0.111005335525693,0.136765177187501,0.134795353244762,0.114546652928146,0.10545436065075,0.0768963351196464,0.083166686944977,0.0166019416105116,0.0979385810824408,0.10981394463455,0.080743572322522,0.0832278370495829,0.106858938689104,0.0866770085644791,0.0680829428561424,0.0937161189982854
ROCE,0.142514992780332,0.190683263686821,0.157447915104454,0.134120258350978,0.116092381375686,0.0893242244563249,0.00557992825794947,-0.183253651641693,-0.210203255349797,-0.359710185196755,-0.280996920697911,-0.243857556508944,-0.34574975944878,-0.259398608978587,-0.229639502916572,-0.202648560857658,-0.346633014406373,-0.128339708384606
Reported ROE (memo),0.283655724892536,0.275172385983306,0.380898622713931,0.271345029239766,0.275053369929857,0.258764658005004,0.23410290237467,0.287665336150896,0.283019686063655,0.0731021555763824,0.378894058064896,0.469943627838365,0.401419762682004,0.424844558459063,0.395851483094794,0.413014147488532,0.42770357257805,0.407441947216264
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),4600,5318,7029,8813,9154,9801,9512,9305,9724,10002,8556,7948,7165,7363,9034,10241,10154,9525
Reported CI (nom) = NI+OCI,3133,6067,10359,5881,5634,5152,1321,-2823,-4678,-9057,-6380,-4579,-6854,-4559,-5353,-3561,-6212,-1024
ΔCSE (nom),,4327,6204,632,1155,383,-2853,-4766,-2492,-5990,-91,2000,318,3700,1106,1836,-1085,7313
Clean-surplus residual (dirty),,3578,2874,3564,4675,5032,5338,7362,11910,13069,14845,14527,14337,15622,15493,15638,15281,17862
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,38436.5557987982,42678.5520357279,59300.2574575582,64272.5078157798,69768.6303386998,71125.8542217879,72345.7961112344,75516.448977925,73563.8337244268,74713.4581646654,72861.8370212993,79619.4758406328,79438.028657654,79270.7368202103,72089.8431432673,73003.2951128871,69164.1216622031,80112.3289735523
Active NFO,6744.39259555139,4987.7071973599,19047.9255879224,22077.9310702013,23991.9891242803,24567.7553969187,28752.2102806502,34672.1383107541,33044.9566804302,39531.9906372389,40272.3605793546,46006.2190004576,46366.2069386541,41775.0477691257,35146.9485879278,34427.1456898872,34912.9859191747,36899.2029769245
Active CSE,31692.1632032468,37690.844838368,40252.3318696358,42194.5767455785,45776.6412144195,46558.0988248692,43593.5858305842,40844.3106671709,40518.8770439967,35181.4675274265,32589.4764419447,33613.2568401751,33071.821719,37495.6890510845,36942.8945553395,38576.1494229999,34251.1357430284,43213.1259966278
Active OI-after-tax,9212.26125939843,8797.58750177674,9504.7001996389,10154.9775358404,10701.0323928361,9596.50910917567,8943.50928612053,7828.53078916265,7952.37515165088,1650.81208153446,8942.04916682904,10531.0424136375,8954.2316909055,9554.79943319949,9400.10346712153,9270.62532492513,7560.9711822369,10577.3583852653
Active NI,8678.73760477366,8369.50448823257,8566.10241181935,9686.18361502021,10255.1773045446,9095.90955969267,8421.15852909619,6900.34971166654,7128.39887477072,1433.65090644948,7943.7972282188,9498.05460244289,7471.61939391348,7996.34300113589,8572.90790192427,7882.79386261527,6121.28792785514,9163.54794583993
Active RNOA,0.23967447311412,0.206136035130993,0.160280926376104,0.157998775540966,0.153378851510869,0.134922936450807,0.123621685942464,0.103666563975368,0.108101695480429,0.0220952439103559,0.122726100965792,0.132267165821546,0.11271971173271,0.120533753267239,0.130394283816658,0.126989135361489,0.109319268437538,0.132031592649831
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,49721.4117406632,48408.7209665466,53973.2208102506,69340.1085005268,70087.2021524953,67402.3662821894,65114.6752247229,62628.1581574317,58453.5207264788,49508.2982865535,45776.1786808014,48849.4104131708,42748.3790178934,47806.6928626785,49244.4328372999,50322.0121364481,50276.6227154921,49903.6529540944
Real COGS,17703.8359985695,17320.2935810606,19507.4487241809,27137.4259021335,27810.389291532,26499.7436565546,25323.6320078062,24718.1437871545,22990.163599395,18759.067734171,17438.9891201759,19163.0314718549,17393.8018824548,18992.8180647304,20612.0312313133,20369.0095896975,19576.0573434198,19150.1533842947
Real gross profit,32017.5757420937,31088.427385486,34465.7720860696,42202.6825983933,42276.8128609633,40902.6226256348,39791.0432169167,37910.0143702772,35463.3571270838,30749.2305523825,28337.1895606255,29686.3789413159,25354.5771354386,28813.8747979481,28632.4016059866,29953.0025467506,30700.5653720723,30753.4995697996
Real SG&A,18326.4432079442,17742.0539767033,584.009337051033,527.403171526503,378.044970687387,326.553488412025,19420.5884909773,17604.7138939401,15913.6893132284,12226.684844158,9359.42685389097,10493.1983673437,8498.14053112117,9727.06349411374,9922.402812185,9874.35032917408,9931.18473392436,9494.40392553962
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),45.27,57,65.769997,69.970001,36.25,41.310001,42.220001,42.959999,41.459999,45.880001,47.349998,55.349998,54.84,59.209999,63.610001,58.93,62.259998,69.910004
Market cap = adj. price x shares  [split-consistent],211501.44,265506,306882.806002,325080.624646,166170,186266.794509,187879.00445,189238.795595,181055.815633,198385.124324,203557.641402,238779.891372,237073.32,256971.39566,276703.50435,255697.27,268963.19136,301521.847252
Book/market = repCSE/mktcap,0.0967936672204218,0.0934027856244303,0.101025536112303,0.0973143202073309,0.197328037551905,0.178094008046062,0.161380459135172,0.135035735773173,0.12737508551919,0.0860548393342146,0.0834210884103571,0.0794916183726255,0.0814051956584571,0.0895002338331465,0.0871149068264411,0.101452002205577,0.0924141324852549,0.106688786544593
Premium fraction = 1−book/mkt,0.903206332779578,0.90659721437557,0.898974463887697,0.902685679792669,0.802671962448095,0.821905991953938,0.838619540864828,0.864964264226827,0.872624914480811,0.913945160665786,0.916578911589643,0.920508381627375,0.918594804341543,0.910499766166854,0.912885093173559,0.898547997794423,0.907585867514745,0.893311213455407
Buyback $ (nominal),1079,1518,2961,4513,4559,4832,4162,3564,3681,3682,1912,1103,118,111,1418,2289,1795,746
Annual premium reserve (real),1516.91963378605,2149.75111900835,4090.92913762113,6069.3385244049,5341.35429780368,5713.17520235628,4940.91045886,4358.73633429423,4485.11675156328,4600.75820126656,2338.85428049999,1330.91342699339,140.354873249636,124.993042987127,1482.31544224728,2262.12189753223,1740.43225337536,693.692280325912
Cumulative premium reserve,1516.91963378605,3666.67075279439,7757.59989041553,13826.9384148204,19168.2927126241,24881.4679149804,29822.3783738404,34181.1147081346,38666.2314596979,43266.9896609645,45605.8439414644,46936.7573684578,47077.1122417075,47202.1052846946,48684.4207269419,50946.5426244741,52686.9748778495,53380.6671581754
Economic CSE (real),31692.1632032468,37690.844838368,40252.3318696358,42194.5767455785,45776.6412144195,46558.0988248692,43593.5858305842,40844.3106671709,40518.8770439967,35181.4675274265,32589.4764419447,33613.2568401751,33071.821719,37495.6890510845,36942.8945553395,38576.1494229999,34251.1357430284,43213.1259966278
Adjusted base = CSE+reserve,33209.0828370328,41357.5155911624,48009.9317600513,56021.515160399,64944.9339270436,71439.5667398496,73415.9642044246,75025.4253753055,79185.1085036946,78448.4571883909,78195.3203834091,80550.014208633,80148.9339607074,84697.7943357791,85627.3152822814,89522.692047474,86938.1106208779,96593.7931548032
Economic CI (real),4516.60841010383,7187.01330489357,6337.64573096673,5659.14753412717,5314.31928996234,4158.76606969237,243.249081441422,-7484.86907854682,-8517.19985776625,-12655.1321997842,-9157.54252734357,-8196.84667935264,-11434.5744038772,-9726.32958254496,-8483.54794198751,-7817.4011640009,-11872.5744294478,-5545.95998879446
ROE unadjusted,,0.207169262554397,0.162622207578458,0.137279799307912,0.120819500131937,0.0900802031374714,0.005396440063679,-0.177286962110569,-0.209362491745077,-0.334348073880803,-0.270249814772605,-0.247628648334569,-0.342942518804424,-0.275660271317611,-0.227934158093126,-0.207031253368173,-0.326047425834459,-0.143187577451741
ROE ADJUSTED (premium),,0.192767632060201,0.141833428587477,0.108796862903475,0.0878643513148145,0.0609859045471711,0.00335850595218211,-0.100846119801736,-0.110461972259939,-0.160563927412569,-0.11692188057896,-0.103270394691191,-0.142310507120778,-0.118004520721231,-0.099615939904705,-0.0892652108119305,-0.134563305277055,-0.0604359228526603
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0586799576528102,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.944572524275505,0.8922172536162,0.842763903450413,0.796051627650435,0.751928495383396,0.710250996958977,0.670883577066735,0.633698193884907,0.598573902626695,0.565396462169538,0.534057963487921,0.504456478681221,0.476495729455054,0.450084773977858,0.425137711094236,0.401573400932993,0.379315201001177
RI without = CI − r·CSE(prior),,5327.3185102011,4125.94855195265,3297.14240459008,2838.34331335354,1472.59470174235,-2488.77818599725,-10042.9388490196,-10913.9422780741,-15032.7781888653,-11221.9895520167,-10109.1957768932,-13406.9988918317,-11666.9826805172,-10683.7933876681,-9985.20865208046,-14136.2212439979,-7555.81518375602
RI with = (CI+Δres) − r·adjbase(prior),,7388.05684933616,8001.71760507301,8911.26529593795,7368.33345050754,6060.97529944518,992.08878927194,-7434.17841480846,-8434.57189010996,-12700.9528122476,-11422.0403925866,-11454.4313411056,-16020.8909533234,-14304.47259029,-11971.2954846502,-10579.8865011568,-15385.3299543838,-9953.79235811699
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,-35922.9110540218,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,-35922.9110540219,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
