Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ROCE,0.155277785579444,0.0964969802489824,0.112468474740614,0.158172425870431,0.144851970523564,0.164406440357277,0.139568824603917,0.058077488368951,0.0435983031967101,0.0986106972627054,0.191263739061762,0.165827789600638,0.211126317966786,0.297942401783244,0.204951972271428,0.162200525797031,0.20839392055578,0.190719491742647
Reported ROE (memo),0.139576967559288,0.108339984038308,0.120325053098162,0.121813031161473,0.13825742253863,0.188221176036186,0.164442668797443,0.223886220212866,0.194552529182879,0.248561885321952,0.239181866748073,0.234792094455852,0.218879894990155,0.285071737645183,0.283112101540548,0.251097453906936,0.311870290407248,0.277705390207105
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),1160.336,365,889,1013,1078,3596,918,3346,1232,4373,1017,1285,1675,6244,1937,1927,9741,3086
Reported CI (nom) = NI+OCI,1568.661,1196,1425,1835,1865,1917,1982,1256,1251,1665,1935,2223,2705,3870,4015,4487,5539,6329
ΔCSE (nom),,831.939,805,1173,359,-1528,1682,-1898,1462,-1301,2325,2481,2700,-720,3078,4416,-1436,5542
Clean-surplus residual (dirty),,0.939000000000306,269,351,-428,151,618,192,1443,1407,1407,1543,1670,1654,1000,1856,2766,2299
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,8926.44141790082,8912.3494083045,8112.41820162874,8125.07526491296,7909.9759135402,9082.64548826473,9381.9803215644,10304.2720248137,12735.1964115854,11462.932505467,12443.7685535123,13284.3539863877,12694.8053109923,13563.7215417397,18201.8603275642,18543.4950880736,20853.4982073131,22141.0224631125
Active NFO,-1318.04701010204,-2219.70934151219,-3812.96622427266,-4304.1462218646,-4838.68369818027,-1362.31785694356,-3145.45867971073,-82.0073412455647,956.468998820868,1614.63880140339,-380.356003615988,-2917.90875274293,-3518.12400168463,-1889.75880724803,-2295.95125659907,-6983.97467033364,-3068.24037820899,-7402.11668835788
Active CSE,10244.4884280029,11132.0587498167,11925.3844259014,12429.2214867776,12748.6596117205,10444.9633452083,12527.4390012751,10386.2793660593,11778.7274127645,9848.29370406361,12824.1245571283,16202.2627391306,16212.9293126769,15453.4803489878,20497.8115841633,25527.4697584072,23921.7385855221,29543.1391514703
Active OI-after-tax,1248.98191424157,1009.73899694076,1263.61203459897,1522.07994155106,1707.51698745372,1988.92912918539,1960.4988561923,2305.40510949802,2169.99602458226,2480.56938247747,4204.81836195543,4721.98122023619,5263.00701677261,6171.23339557168,6431.98184119765,6256.23935577932,7074.61002195881,7596.92801644172
Active NI,1146.10498240156,902.381743975653,1153.73206254969,1410.2499928338,1618.96570402458,1892.72376124911,1856.02538209589,2188.21297660102,2048.0718424498,2357.46696050693,4052.95439311492,4569.13805309917,5102.40442043189,6010.43537820866,6295.47830709307,6125.77756510542,6938.04997787042,7476.91437887942
Active RNOA,0.139919353723298,0.113296612451021,0.155762684219764,0.187331180564438,0.215868797341192,0.218981257361107,0.208964289946986,0.22373294337983,0.170393604813836,0.216399196391884,0.33790554235024,0.355454335609753,0.414579577066489,0.454980838155731,0.353369475726461,0.337381886535677,0.33925291342619,0.343115501061363
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,112821.127023126,111566.559176273,119792.609962578,132469.076260675,144703.645787782,151273.38602403,159452.954852663,164296.052506782,165767.946089072,176400.314437826,188944.847606797,200167.753939849,215931.496740865,242315.807163155,259887.94089286,266479.877618132,271839.473870617,286502.824739162
Real COGS,98843.1749127973,97371.9787495863,104499.249665224,115818.630370901,126729.723899579,132272.864107968,139376.944503582,142897.792120396,143681.191894403,152962.758999674,164356.500201109,174191.025389487,187675.147103485,211093.973989741,228314.889497873,233810.273900401,237551.460312603,249706.674715711
Real gross profit,13977.9521103282,14194.5804266863,15293.3602973548,16650.4458897746,17973.9218882027,19000.5219160618,20076.0103490808,21398.2603863858,22086.7541946693,23437.5554381527,24588.3474056876,25976.7285503624,28256.3496373802,31221.833173414,31573.0513949873,32669.6037177308,34288.0135580145,36796.1500234514
Real SG&A,0,0,0,0,0,0,0,0,0,17817.0811684073,18609.417945338,19767.3243447275,20448.3674032402,22184.8779348267,22649.1869846748,23745.5138791344,24368.5804411376,25988.0811758603
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),52.5,59.17,72.21,83.32,98.73,119.02,141.75,161.5,160.11,186.12,203.71,293.92,376.78,567.7,456.5,660.08,916.27,862.34
Market cap = price×shares,23322.6,26061.66318,32203.4937,36918.59208,43379.29629,52429.73824,62722.24875,71498.634,70650.61893,82067.19444,90006.00414,130183.92816,167253.01878,252255.2242,203031.5705,293373.87616,407519.32893,383571.41902
