t,phase,df_cumulative,df_equity,annuity_equity,dri_equity,normal_eps,aeg_eps,contrib_eps,cum_contrib_eps,normal_nfe,aeg_nfe,contrib_nfe,normal_oi,aeg_oi,contrib_oi,retention_rate,retained_eps,coe,rore,pi,infl_index,eps_real,dps_real
15,continuing,0.310091033363965,0.26189504250808,0,5.13478148889135e-15,9.51508638530526,-0.198357514697936,0,-30.15544897,4.56683983606204,0.308868303656088,0,14.0224555911594,0.169981419166028,0,,,,,0.022093,1.401644,6.646999,0.908233
16,continuing,0.286966548217219,0.240782892130523,0,-2.97539770599542e-14,10.0504827379105,-0.277091068037398,0,-30.15544897,4.98475370976089,0.3155920080258,0,14.9781360744818,0.0956013131779816,0,,,,,0.022365,1.432992,6.820268,0.931908
17,continuing,0.265735893077825,0.221619611667774,0,1.14352971536391e-14,10.5333843698331,-0.246434201733642,0,-30.15544897,5.42087557940916,0.323300086352705,0,15.8987766640482,0.132349169813068,0,,,,,0.02274,1.465579,7.019037,0.959067
18,continuing,0.246242728661723,0.204209060067551,0,2.25930385511219e-14,11.0767318875703,-0.27566033037245,0,-30.15544897,5.87728019931801,0.329798827460303,0,16.8998706666606,0.108279917315514,0,,,,,0.023172,1.499539,7.202928,0.984194
19,continuing,0.228341468394848,0.188376791175401,0,7.54951656745106e-15,11.6197042675611,-0.303894879630523,0,-30.15544897,6.35380415732898,0.337390943577176,0,17.9208314405716,0.0861730482650636,0,,,,,0.023638,1.534986,7.371931,1.007286
20,continuing,0.211907208343959,0.173975228255342,0,-3.24740234702858e-14,12.1617516352752,-0.330632467051062,0,-30.15544897,6.85225710217569,0.34041510965711,0,18.962958966822,0.0608324132349587,0,,,,,0.024071,1.571934,7.526473,1.028402
21,continuing,0.1969682558769,0.161010924618533,0,4.16888745746746e-14,12.6924192454576,-0.457466990437013,0,-30.15544897,7.36550220823229,0.282113958955017,0,20.0101818243535,-0.127613402145656,0,,,,,0.024029,1.609705,7.60074,1.03855
22,continuing,0.183103618673858,0.149014613685022,0,-4.38260538970781e-14,13.1259092654853,-0.0597695699222793,0,-30.15544897,7.83323024029712,0.3284165166494,0,20.9086042636795,0.319182188830073,0,,,,,0.024271,1.648774,7.92476,1.082823
23,continuing,0.170236580745185,0.137912689573753,0,4.16888745746746e-14,14.0179548180076,-0.0548736876456726,0,-30.15544897,8.36148504807287,0.341180257423769,0,22.3239790855849,0.341767350273642,0,,,,,0.024485,1.689145,8.266362,1.129499
24,continuing,0.158318255051439,0.127656531015138,0,-1.27675647831893e-14,14.9783968793164,-0.0494536443073752,0,-30.15544897,8.91604599347609,0.334931713478351,0,23.8334313081595,0.346489633803937,0,,,,,0.024519,1.730561,8.626651,1.178728
25,continuing,0.147284201164767,0.118186816145781,0,1.80411241501588e-14,16.0115874847183,-0.0440609238572609,0,-30.15544897,9.47731078967429,0.343743544880764,0,25.4217691414707,0.366811753945367,0,,,,,0.024466,1.7729,9.006443,1.230622
26,continuing,0.137040653819282,0.109406837908205,0,-3.56381590904675e-14,17.1267766364453,0.100264620952391,0,-30.15544897,10.0593284384867,0.350061332836969,0,27.1102491052549,0.526181923466456,0,,,,,0.024262,1.815914,9.486707,1.296245
27,continuing,0.127575966133896,0.101316696133278,0,1.83186799063151e-14,18.4708260446766,0.00745835529732375,0,-30.15544897,10.6577494590684,0.348833419055172,0,29.0443726218553,0.440494656242205,0,,,,,0.023859,1.85924,9.938623,1.357994
28,continuing,0.118840104454696,0.093872773062142,0,3.43058914609173e-14,19.8021669052577,0.0159596459444273,0,-30.15544897,11.2629372162023,0.356317065343676,0,30.9727555883334,0.464625244414702,0,,,,,0.023291,1.902544,10.416648,1.42331
29,continuing,0.11079244035962,0.0870390141132662,0,-7.96029908656237e-14,21.2223964412544,0.0245093752044632,0,-30.15544897,11.8804930914001,0.350919592635472,0,33.0023423399958,0.475976160498576,0,,,,,0.022483,1.945319,10.922068,1.49237
30,continuing,0.103383024464517,0.0807715675341167,0,4.66293670342566e-14,22.7327967273329,0.0325743206269031,0,-30.15544897,12.4947835293086,0.362492657269591,0,35.1188906149214,0.503756619616539,0,,,,,0.021532,1.987206,11.455968,1.565321
