Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Reported ROE (memo),0.322299104807735,0.324286192719059,0.337995927348266,0.382419980264347,0.357325940262594,0.348907224994847,0.370158868470599,0.639018609179023,-2.1260717688155,-1.58883108935129,-0.946615748434105,-0.733883049340463,-0.604544467021943,-1.63990436861552,-1.02898357597362,-1.79957501062473,-2.16622760800843,-4.78112786152987
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),5742.7,5032.9,5106.6,5972.8,5511.7,4892.4,6414.7,9329.5,14229.2,7774.9,8463.6,8558.1,4660.7,4764.1,8064.2,7587.1,7694,7171
Reported CI (nom) = NI+OCI,4414.5,5298.4,5699.2,5952.8,6261.2,6013.5,3238.1,1649.5,1593.6,3013.9,3314.8,3542.7,2143.7,4971.5,3690.8,6012.8,5670,6149
ΔCSE (nom),,651.299999999999,600.300000000001,-244,903.4,716.1,-3156.3,-5765.5,-9292.2,-1063.7,-2990.4,-1951.9,385.4,3223.9,-1402.4,1297.4,910,2005
Clean-surplus residual (dirty),,385.799999999999,7.70000000000164,-224.000000000001,153.9,-405,20.2999999999984,1914.5,3343.4,3697.3,2158.4,3063.5,2902.4,3016.5,2971,2871.7,2934,3027
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,25503.9360096199,25473.7228833117,26242.4286969767,27006.1528087061,28279.727689573,28459.469175637,49349.3136235511,60586.5303068921,26951.3047658231,26759.5431169845,27589.280164215,26978.2803027581,25057.8975945296,26886.0179628223,28511.8435953463,30013.4351073432,33383.6060883616,34958.4168403565
Active NFO,12692.4705703125,13718.7722173798,14013.6114158748,15143.7712362018,16488.5992543359,16300.4856059273,39431.4813336375,57351.5513161503,34332.2103592812,37013.5095736782,40925.6386978459,61141.7236786006,60491.9215307696,55208.1657408569,52807.1079243478,53349.2077085152,54337.3405698,56252.3394513936
Active CSE,12811.4654393074,11754.950665932,12228.8172811019,11862.3815725043,11791.1284352371,12158.9835697097,9917.83228991367,3234.97899074177,-7380.90559345805,-10253.9664566937,-13336.3585336309,-34163.4433758426,-35434.0239362399,-28322.1477780346,-24295.2643290015,-23335.772601172,-20953.7344814385,-21293.922611037
Active OI-after-tax,5264.69888832481,5697.45048261358,6257.49332656431,6847.44692386721,6570.19404723144,6616.17639937388,5382.33786021728,5019.00009568536,5454.7171745632,7314.45200822228,8343.31061553938,8466.55671152535,7010.35110843831,8750.14011222847,6713.58900607109,9884.00701606173,9569.96997851585,9750.73539229428
Active NI,4694.95019486455,5178.87768679279,5767.84956203021,6343.17387955522,6060.14194410873,6099.23764511116,4855.7330908788,4395.46395234646,4611.44049155476,6551.62124041272,7350.76650838194,7361.42196984721,5795.3024731722,7537.88339480543,5622.52851963083,8679.19056379474,8290.93536959245,8456.68575053031
Active RNOA,0.206426917254615,0.223659906669789,0.238449474277707,0.253551365585836,0.232328759291905,0.232477154037635,0.109066113893196,0.0828401968269573,0.202391580740102,0.273339943669656,0.30241131939213,0.313828628678744,0.279766132892519,0.325453182554891,0.235466674879168,0.329319419143844,0.286666753531225,0.278923826465673
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,36613.0395544883,35528.9395213879,36999.4504888652,40234.6046617083,40237.7054321977,40431.7814064398,38845.8484552413,35931.9407426472,34379.6847329453,31199.5794272193,28370.4206640994,28005.1077075926,24871.3368419426,28720.9946366756,26546.0060002392,28040.3833417569,27691.0830791006,27985.6429709607
Real COGS,23165.9690464137,21795.4837939376,22188.2052679128,24313.2862073718,24449.8760250703,24747.5755997888,24044.7808056231,22090.7982440078,20130.8099997083,16679.0410851828,13913.4226122729,13350.8089158521,12243.7707481521,13162.3927080489,11422.5006406861,12022.3349797507,11975.966100182,11918.7506794681
