Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
NBC,0.0411366772171823,0.0389107547353761,0.0327982986705278,0.0302707065169061,0.0300254614566617,0.0287924428259152,0.0364407405927188,0.0399999381898455,0.0392308885508521,0.0377182030522985,0.0255814416264861,0.0281166845571287,0.0296090858935733,0.0290376030936896,0.0247318553389727,0.0395050212155963,0.0361883681695408,0.0336118843018544
Spread,0.0926249181787406,0.097082389597133,0.098585358745355,0.0901842951523552,0.0917596404193353,0.0742481378601607,0.0688542229710489,0.0463703121481568,0.036267216739584,0.0860630957820445,0.0804594710388383,0.0955736103620221,0.0795782716280644,0.0986031564677284,0.058771084524932,0.08803372935414,0.100228813683374,0.127669083383958
ROCE,0.145993045414598,0.206695482860813,0.242062560265982,0.185405032727602,0.196930584316262,0.120783187770774,0.0436617847004084,-0.058229402623005,-0.114795860723722,0.0268685131075192,-0.000501277710752869,0.00365061729757954,0.0151007628016623,0.0837091231341859,-0.0217816680489541,0.0524952430075402,0.0538600498148428,0.0980495521395237
Reported ROE (memo),0.203017538485104,0.202617704843885,0.239108867555659,0.220136016265863,0.221162603106867,0.206081341805366,0.201034474285574,0.182429915824498,0.175364405254634,0.126648602139491,0.092005076142132,0.199292879240381,0.166944701884461,0.164234321886298,0.151826335629793,0.171257908160449,0.21355191016668,0.219771725709467
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),7267,11493,19213,11346,12961,12822,7200,10406,14514,14420,13512,11765,8741,15939,16034,8919,11182,15595
Reported CI (nom) = NI+OCI,10566,14265,17035,14289,16412,13026,9195,3097,-589,-319,-4872,2076,2117,4907,0,4209,5831,9123
ΔCSE (nom),,5464,-2207,2773,5547,884,3648,-848,-2748,71,-5373,2173,6256,2328,-6323,13641,442,8604
Clean-surplus residual (dirty),,2692,-29,-170,2096,680,1653,6461,12355,14810,13011,11862,12880,13360,9711,18351,5793,15076
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,124644.223809419,129411.452526061,137095.174959288,148651.778657959,154020.534028746,160518.638337335,156854.989689273,154094.065341612,148809.347087738,146624.45196834,160441.498444514,156560.854212695,159697.218025142,155528.409420066,149757.393305181,151543.653469936,158672.472718798,139658.209030466
Active NFO,54583.6055738637,55173.5136845581,67909.8626116414,75502.4409218011,74403.845701138,77063.737652913,64741.96807402,61987.5689542388,57521.3364025783,57365.692840104,75305.9029363561,90446.9928751096,64448.4431966638,58630.9228374707,62799.6802679339,54031.7985265661,60120.4684928699,63768.0206569241
Active CSE,70060.6182355558,74237.9388415034,69185.3123476467,73149.3377361576,79616.6883276084,83454.9006844225,92113.0216152532,92106.4963873733,91288.0106851593,89258.7591282363,85135.5955081582,66113.8613375855,95248.7748284785,96897.4865825949,86957.7130372466,97511.8549433697,98552.0042259283,75890.1883735415
Active OI-after-tax,16672.6102336344,17599.0703416563,18012.0655002216,17905.8502463831,18757.4064276863,16539.9337052173,16516.0404241272,13309.1429991555,11234.8237546311,18149.3651055149,17013.3629244485,19365.0582303624,17436.9172397221,19851.7643117564,12505.1826073376,19327.6882203287,21645.651565932,22524.2110977009
Active NI,14427.2220697924,15452.2272827876,15784.7375436105,15620.3380159292,16523.3966263594,14321.0804448944,14156.7951600797,10829.6440724472,8978.21061692544,15985.6342547361,15086.9293643523,16821.9886625521,15528.657749405,18149.2628453852,10952.0299996173,17193.1608732199,19469.9899175867,20380.8477652221
Active RNOA,0.133761595395923,0.135993144332509,0.131383657415883,0.120455001669261,0.121785101875997,0.103040580686076,0.105294963563768,0.0863702503380023,0.0754981052904361,0.123781298834343,0.106040912665324,0.123690294919151,0.109187357521638,0.127640759561418,0.0835029398639047,0.127538750569736,0.136417181852915,0.161280967685812
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,631475.285111659,627172.237659133,628487.289562948,651739.312033416,674183.343162043,674240.817459111,686671.504883616,673200.581608036,664275.527819027,667748.996200823,674297.777158458,678457.977334812,691531.758397609,655867.963103313,672319.195630485,692410.618080328,708863.793140401,722648.502578283
Real COGS,474778.801526077,467370.37750853,469218.980959282,488966.868206486,506800.944084101,506881.747968201,516202.27906859,504043.803022412,493901.739915144,498327.755530511,505064.312821476,510956.688143085,519825.898605012,491253.411012967,510018.223323116,523632.825715916,532703.617158938,542516.079827332
Real gross profit,156696.483585582,159801.860150604,159268.308603666,162772.443826929,167382.399077941,167359.06949091,170469.225815026,169156.778585625,170373.787903884,169421.240670312,169233.464336983,167501.289191727,171705.859792597,164614.552090345,162300.972307369,168777.792364412,176160.175981463,180132.422750951
Real SG&A,119734.652171886,122345.345512162,120706.79366406,124455.615543089,124540.595384556,125921.685839923,128692.141129117,132008.081193465,135286.497303362,137341.881867093,135863.65161525,140868.689093586,143819.549854227,134908.034634638,139833.470800979,139920.094211145,145610.700440761,144438.908781045
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),53.4501,53.9301,59.76,68.2299,78.69,85.8801,61.2999,69.12,98.7501,93.15,118.8399,144.15,144.69,141.7899,157.65,90.35,111.41,0
