Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Tax rate,0.201289,0.148332,0.405929,0.128443,0.279208,0.185392,0.309495,0.174412,0.15411,0.629198,0.288243,0.21824,0.228552,0.10959,0.116638,0.800424,0.1406,0.133099
OCI,-2553.9,-2767,-3216,-3132,-4682,-2197,-4323,-4148,-5226,-4910,-5545,-6193,-6634,-4429,-4768,-5161,-4945,-4287
Dividends paid,-3278.5,-3479.1,-4853,-4811,-5236,-5277,-5247,-5117,-5124,-5167,-5172,-5695,-6215,-6610,-7012,-7445,-7840,-8176
Repurchases,-2725,-186.4,-1593,-1921,-2591,-6516,-7703,-4186,-3434,-4014,-9091,-4780,-1281,-840,-384,-1346,-1306,-5084
PARTITION (nominal),,,,,,,,,,,,,,,,,,
Financial obligations,6240.4,17474,17882,17515,20569,25060,21403,26412,24842,24410,25114,27351,33417,34631,31985,36268,38270,50534
Financial assets,5486.4,9604,12201,14972,16141,17486,15719,13427,14341,8498,8864,10450,8063,8096,13192,7093,13689,14565
NFO (nominal),3162.8,10297,8110,4969,6871,10135,5828,13076,10721,16145,16431,16995,25441,26608,18860,29229,24640,36025
Operating assets,41709.3,102710,93580,90156,89991,88159,82448,88250,81036,79374,73773,73947,83525,97598,95968,99582,103417,122301
Operating liabilities,19788.2,33355,31094,30670,30100,28259,27973,30498,30227,28893,30641,31045,32767,32806,31117,32772,32464,33670
"NOA (nominal, reported PP&E)",21921.1,69355,62486,59486,59891,59900,54475,57752,50809,50481,43132,42902,50758,64792,64851,66810,70953,88631
CSE (reported),18758.3,59058,54376,54517,53020,49765,48647,44676,40088,34336,26701,25907,25317,38184,45991,37581,46313,52606
tie: NOA−NFO−CSE (nom),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC RESTATEMENT (real 2026$),,,,,,,,,,,,,,,,,,
Real net PP&E (BEA),19945.9133476691,19690.1582757065,19707.9649151899,19719.0438437,19931.7934844872,19600.2266782654,20124.552174388,19359.021599805,19018.447309052,19022.6760063351,19931.2982451747,21832.5276961171,25083.5078210853,27871.6677323048,30163.4945582001,31620.7564418625,32390.4122785664,33734.8616176998
Non-PP&E op net (nom),9921.5,51076,45404,43189,43861,44927,41339,45245,38783,38042,29841,27849,33758,45513,43429,43759,47174,61808
Real non-PP&E op net,15442.9935695276,79784.5702512853,69779.8945775397,64344.6767657009,64020.9670243996,64630.2580347446,58519.4043026832,63972.7957699237,54152.9009945543,52010.2364800914,39825.2754522972,36505.3193419308,43711.7519502649,56288.3459386648,49731.1057969281,48127.8342675795,50397.3438724342,64338.3530128004
Real NOA,35388.9069171967,99474.7285269919,89487.8594927297,84063.7206094009,83952.7605088868,84230.48471301,78643.9564770711,83331.8173697287,73171.3483036064,71032.9124864265,59756.5736974719,58337.8470380479,68795.2597713502,84160.0136709696,79894.6003551283,79748.5907094419,82787.7561510006,98073.2146305002
Real NFO,4922.95520452572,16084.6918293814,12463.9887460102,7403.0123144497,10029.1389714017,14579.8220487043,8250.10494390376,18488.4136918449,14969.7870603774,22073.1104561031,21928.5245453134,22277.5648036236,32942.4338339561,32907.5277115548,21596.8282790316,32147.1804156192,26323.6221863055,37499.8247360558
Real CSE,30465.951712671,83390.0366976105,77023.8707467195,76660.7082949512,73923.6215374851,69650.6626643058,70393.8515331674,64843.4036778838,58201.561243229,48959.8020303233,37828.0491521586,36060.2822344243,35852.8259373941,51252.4859594149,58297.7720760966,47601.4102938227,56464.1339646951,60573.3898944444
tie: Real NOA−NFO−CSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC FLOWS (real 2026$),,,,,,,,,,,,,,,,,,
Real EBITDA,9471.41217261255,6281.10574399754,5156.18769949004,13372.7990610788,14416.7960443217,11026.5748399919,9460.44120454853,10670.8517996599,7678.28178761453,15632.3285819191,17950.134205737,15176.7958397384,11877.7149309728,20298.829387017,25411.1991696708,7428.30943676116,26409.0884921052,30524.493006526
Economic depreciation,2006.31579001957,2030.60455034028,2069.43705004883,2113.99463440695,2173.02363839788,2206.04697440227,2274.77687484706,2257.62560892561,2224.36650271695,2164.9993967763,2141.45954181938,2171.19659367454,2302.06976099584,2446.05559591898,2585.44041169287,2711.94802600201,2838.45882105421,3002.92778066198
Economic OI (pretax),7465.09638259298,4250.50119365726,3086.75064944121,11258.8044266718,12243.7724059238,8820.52786558966,7185.66432970147,8413.22619073433,5453.91528489758,13467.3291851428,15808.6746639176,13005.5992460639,9575.64516997695,17852.773791098,22825.7587579779,4716.36141075915,23570.629671051,27521.565225864
Economic OI-after-tax,5915.13224829815,3584.7213400229,1735.31411081596,9780.87265952062,8754.11816623925,7137.34860299025,4879.23991194707,6899.7188338883,4573.2440382556,4834.09084585663,11179.605330026,10111.7333033143,7325.45984762399,15864.8771345371,20128.0715689085,686.912776646804,20209.8347922124,23811.6378351384
NFE after-tax (real),312.045224821312,609.309345731095,652.800665191946,972.56153262324,751.193584653885,938.662909051816,715.513510442772,784.435759298818,818.516525633461,382.242436761929,733.321575813068,915.106101286646,830.097652319353,887.581199271432,973.110305417683,251.548575309017,1166.93279515762,1224.54457903359
Economic NI,5603.08702347684,2975.41199429181,1082.51344562402,8808.31112689738,8002.92458158537,6198.68569393843,4163.7264015043,6115.28307458948,3754.72751262214,4451.8484090947,10446.283754213,9196.62720202769,6495.36219530464,14977.2959352657,19154.9612634908,435.364201337787,19042.9019970548,22587.0932561048
OCI (real),-3975.19138005509,-4322.26301756807,-4942.56323146348,-4666.17721248872,-6834.00213420211,-3160.51988564413,-6119.63000557583,-5864.93881873452,-7297.09049319395,-6712.85056298956,-7400.25978965142,-8117.97345271203,-8590.07531364587,-5477.57968409787,-5459.89805060566,-5676.26665725857,-5282.88602724354,-4462.50516706374
Comprehensive income,1627.89564342175,-1346.85102327626,-3860.04978583946,4142.13391440866,1168.92244738325,3038.1658082943,-1955.90360407153,250.344255854963,-3542.36298057181,-2261.00215389485,3046.02396456153,1078.65374931565,-2094.71311834123,9499.71625116779,13695.0632128851,-5240.90245592078,13760.0159698112,18124.5880890411
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.167146508993296,0.0360365028696732,0.0193916149146125,0.11635069907228,0.104274333722625,0.0847359317390682,0.0620421470449497,0.0827981322341196,0.0625004751761585,0.068054239600275,0.18708578217059,0.1733305875467,0.106482043558976,0.188508490463917,0.251932814976732,0.00861347856477514,0.244116228435406,0.242794507397876
FLEV (econ),0.16158875491417,0.192885055174011,0.161819818001565,0.0965685352914649,0.135668934540986,0.209327829642834,0.117199226412786,0.285124047215164,0.257205936414961,0.450841497325339,0.579689543521227,0.617786756598281,0.918823913391927,0.642066957251852,0.370457180607881,0.675340924085834,0.466200760340444,0.619080834032951
NBC,0.0633857534463134,0.0378813192191901,0.0523749401972873,0.131373755886496,0.0749011043516228,0.0643809578687716,0.0867278071379547,0.0424285053533191,0.054677900382427,0.0173171079591205,0.0334414462905484,0.0410774745513386,0.0251984311937424,0.0269719806073361,0.045058019300106,0.00782490321256287,0.0443302516233766,0.0326546747258848
Spread,0.103760755546983,-0.00184481634951691,-0.0329833252826748,-0.0150230568142164,0.0293732293710019,0.0203549738702966,-0.024685660093005,0.0403696268808006,0.00782257479373152,0.0507371316411545,0.153644335880041,0.132253112995361,0.0812836123652338,0.161536509856581,0.206874795676626,0.000788575352212276,0.19978597681203,0.210139832671991
ROCE,0.053433277213024,-0.0161512223355917,-0.0501149805692395,0.0540320329218959,0.0158125700969685,0.0436200560350344,-0.0277851482973619,0.0038607513124785,-0.0608637106102359,-0.0461807862804367,0.0805228932718493,0.0299125154457592,-0.0584253280898694,0.185351326347181,0.234915721908014,-0.110099730734257,0.243694802410586,0.299217001403176
Reported ROE (memo),0.416263733920451,0.218415794642555,0.0158341915550978,0.115046682686135,0.116333459072048,0.088495930875113,0.245030526034493,0.0994269854060346,0.0977848732787867,0.0697227399813607,0.232950076776151,0.379935924653569,0.279140498479283,0.341739995809763,0.315692200647953,0.00971235464729518,0.369593850538726,0.346994639394746
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),6003.5,3665.5,6446,6732,7827,11793,12950,9303,8558,9181,14263,10475,7496,7450,7396,8791,9146,13260
Reported CI (nom) = NI+OCI,5254.5,10132.2,-2355,3140,1486,2207,7597,294,-1306,-2516,675,3650,433,8620,9751,-4796,12172,13967
ΔCSE (nom),,40299.7,-4682,141,-1497,-3255,-1118,-3971,-4588,-5752,-7635,-794,-590,12867,7807,-8410,8732,6293
Clean-surplus residual (dirty),,33833,4119,3733,4844,6331,4235,5038,5276,5945,5953,6031,6473,11697,5452,5177,5706,5586
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,35388.9069171967,99474.7285269919,89487.8594927297,84063.7206094009,83952.7605088868,84230.48471301,78643.9564770711,83331.8173697287,73171.3483036064,71032.9124864265,59756.5736974719,58337.8470380479,68795.2597713502,84160.0136709696,79894.6003551283,79748.5907094419,82787.7561510006,98073.2146305002
Active NFO,4922.95520452572,16084.6918293814,12463.9887460102,7403.0123144497,10029.1389714017,14579.8220487043,8250.10494390376,18488.4136918449,14969.7870603774,22073.1104561031,21928.5245453134,22277.5648036236,32942.4338339561,32907.5277115548,21596.8282790316,32147.1804156192,26323.6221863055,37499.8247360558
Active CSE,30465.951712671,83390.0366976105,77023.8707467195,76660.7082949512,73923.6215374851,69650.6626643058,70393.8515331674,64843.4036778838,58201.561243229,48959.8020303233,37828.0491521586,36060.2822344243,35852.8259373941,51252.4859594149,58297.7720760966,47601.4102938227,56464.1339646951,60573.3898944444
Active OI-after-tax,5915.13224829815,3584.7213400229,1735.31411081596,9780.87265952062,8754.11816623925,7137.34860299025,4879.23991194707,6899.7188338883,4573.2440382556,4834.09084585663,11179.605330026,10111.7333033143,7325.45984762399,15864.8771345371,20128.0715689085,686.912776646804,20209.8347922124,23811.6378351384
Active NI,5603.08702347684,2975.41199429181,1082.51344562402,8808.31112689738,8002.92458158537,6198.68569393843,4163.7264015043,6115.28307458948,3754.72751262214,4451.8484090947,10446.283754213,9196.62720202769,6495.36219530464,14977.2959352657,19154.9612634908,435.364201337787,19042.9019970548,22587.0932561048
Active RNOA,0.167146508993296,0.0360365028696732,0.0193916149146125,0.11635069907228,0.104274333722625,0.0847359317390682,0.0620421470449497,0.0827981322341196,0.0625004751761585,0.068054239600275,0.18708578217059,0.1733305875467,0.106482043558976,0.188508490463917,0.251932814976732,0.00861347856477514,0.244116228435406,0.242794507397876
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,37122.9548589662,42844.6078951416,70675.8878499101,71582.3168992482,68992.4773339025,63344.183943818,59790.6112758516,55846.9993882295,55582.7174249084,54853.969508812,56444.8309366127,51281.0010404566,53759.835223387,60234.825227885,67885.7248603304,66116.7932767097,68552.523881934,67584.000577742
Real COGS,8690.04012484731,14088.3592900059,28272.1993799758,25135.0816576939,24005.1258221034,24389.3737556716,23736.7466882941,21115.4764510563,19590.1606619807,17653.0196475196,18028.8745713979,15750.9396104937,17633.3502594557,16851.9983688231,19937.5597649109,17735.9961470552,16231.1198001843,18939.8837216526
Real gross profit,28432.9147341189,28756.2486051357,42403.6884699343,46447.2352415544,44987.3515117991,38954.8101881463,36053.8645875574,34731.5229371733,35992.5567629277,37200.9498612924,38415.9563652148,35530.0614299628,36126.4849639312,43382.8268590619,47948.1650954195,48380.7971296545,52321.4040817498,48644.1168560894
Real SG&A,11482.4334588928,13345.1237483511,20355.7991295814,20459.9654083996,18648.2723764558,17134.707491082,16429.4299895242,14581.7536252674,356.057802480761,333.591759138381,10679.3289155619,11423.8880413992,8764.88088605199,9155.68354061335,8552.84784814884,8341.17541729296,8226.13193322048,11044.3619833325
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),30.4,36.54,36.04,37.7,40.94,50.05,56.79,52.82,58.87,56.2699,76.41,90.9499,81.8,76.64,110.95,109.02,99.48,105.26
Market cap = price×shares,65147.2,83062.728,112444.8,116643.8,125931.44,149949.8,166281.12,150061.62,164070.69,154629.6852,204702.39,234650.742,207853.8,194512.32,282034.9,277673.94,252778.68,263886.82
Book/market = repCSE/mktcap,0.2879371638382,0.711004820356972,0.48357949856285,0.467380177943448,0.421022740627758,0.331877735082007,0.292558770352281,0.297717697569838,0.24433370762322,0.222053093851865,0.13043814485996,0.110406640009687,0.121801958876864,0.196306331650355,0.163068471313302,0.135342193077247,0.183215609797472,0.199350615540405
Premium fraction = 1−book/mkt,0.7120628361618,0.288995179643028,0.51642050143715,0.532619822056552,0.578977259372242,0.668122264917993,0.70744122964772,0.702282302430162,0.75566629237678,0.777946906148135,0.86956185514004,0.889593359990313,0.878198041123136,0.803693668349645,0.836931528686698,0.864657806922753,0.816784390202528,0.800649384459595
Buyback $ (nominal),2725,186.4,1593,1921,2591,6516,7703,4186,3434,4014,9091,4780,1281,840,384,1346,1306,5084
Annual premium reserve (real),3020.222789382,84.1469809306179,1264.31544929318,1524.34813970267,2189.63950484741,6262.755984213,7714.18757158396,4156.57562633968,3623.3531768958,4269.26205422133,10550.1237495595,5573.9873145369,1456.67644688723,834.935365182138,368.018321232235,1280.02442628121,1139.60816339872,4237.14342082107
Cumulative premium reserve,3020.222789382,3104.36977031262,4368.6852196058,5893.03335930847,8082.67286415588,14345.4288483689,22059.6164199528,26216.1920462925,29839.5452231883,34108.8072774097,44658.9310269692,50232.9183415061,51689.5947883933,52524.5301535755,52892.5484748077,54172.5729010889,55312.1810644876,59549.3244853087
Economic CSE (real),30465.951712671,83390.0366976105,77023.8707467195,76660.7082949512,73923.6215374851,69650.6626643058,70393.8515331674,64843.4036778838,58201.561243229,48959.8020303233,37828.0491521586,36060.2822344243,35852.8259373941,51252.4859594149,58297.7720760966,47601.4102938227,56464.1339646951,60573.3898944444
Adjusted base = CSE+reserve,33486.174502053,86494.4064679231,81392.5559663253,82553.7416542597,82006.294401641,83996.0915126746,92453.4679531202,91059.5957241763,88041.1064664173,83068.609307733,82486.9801791278,86293.2005759304,87542.4207257874,103777.01611299,111190.320550904,101773.983194912,111776.315029183,120122.714379753
Economic CI (real),1627.89564342175,-1346.85102327626,-3860.04978583946,4142.13391440866,1168.92244738325,3038.1658082943,-1955.90360407153,250.344255854963,-3542.36298057181,-2261.00215389485,3046.02396456153,1078.65374931565,-2094.71311834123,9499.71625116779,13695.0632128851,-5240.90245592078,13760.0159698112,18124.5880890411
ROE unadjusted,,-0.0236588525923268,-0.0481261238172763,0.0539043531919432,0.0155251538946181,0.042321865996897,-0.027932598649506,0.00370229720300484,-0.0575783492293717,-0.0421980849221405,0.0701947086616282,0.0291968631331556,-0.0582567815963798,0.218120251091502,0.250023385767759,-0.0989790919747357,0.264449027155978,0.309722685364652
ROE ADJUSTED (premium),,-0.0224511502176056,-0.045983913579367,0.0505303745741749,0.0142066382020744,0.0366038812220746,-0.0221695493034165,0.00272835351160817,-0.0395572204602764,-0.0264275134075867,0.0367975973991899,0.0127817584326568,-0.0240999296077015,0.0993073825444413,0.127415294113241,-0.0492186001479015,0.128869086901221,0.156314479928933
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0558354899565673,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.947117244601369,0.897031075021288,0.849593600095966,0.804664749553849,0.762111860425291,0.721809285324025,0.683638021443773,0.647485359174558,0.613244549301135,0.580814487800899,0.550099417310542,0.521008644379979,0.49345627167866,0.467360944363557,0.442645609859906,0.419237290345406,0.397066867266085
RI without = CI − r·CSE(prior),,-3047.93236414637,-8516.17334234667,-158.531647085734,-3111.46576068283,-1089.39581961504,-5844.88247973263,-3680.13093442929,-7162.92619537793,-5510.7148421477,312.32943002189,-1033.49390919623,-4108.15664487241,7497.85614862586,10833.3555478491,-8495.98712316592,11102.167903432,14971.8855041491
RI with = (CI+Δres) − r·adjbase(prior),,-3132.42100243888,-7425.19190018525,1121.88881291423,-1250.8666607828,4722.06016506917,1068.32104346558,-755.264799151622,-5003.36694618233,-2907.55841554424,8957.97121341314,2046.94011051329,-5456.25980553141,5446.67766314163,8268.64099321797,-10169.2440560271,9217.0239166906,16120.6461946681
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,-9258.4267862215,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,-9258.42678622148,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
