Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Reported ROE (memo),0.229862101759391,0.295882437482035,0.293214203511121,0.338341055928996,0.353041197868201,0.299775797456879,0.354200471550109,0.447354530601986,0.356236695802696,0.360701843383291,0.555601183420908,0.610644505348776,0.878663585301275,1.50071326676177,1.96958872750237,1.56076014546391,1.64593503072871,1.51912983331751
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),124,475,912,831,3153,33424,56126,46814,41872,45114,86450,81016,86439,100438,104243,92575,110183,106132
Reported CI (nom) = NI+OCI,4842,8319,13967,26365,42232,36566,40592,53049,46321,48201,56077,54672,57005,94843,88694,85543,86564,106439
ΔCSE (nom),,6802,19959,28824,41595,5339,-12002,7808,8894,5798,-26900,-16659,-25149,-2249,-12418,11474,-5196,16783
Clean-surplus residual (dirty),,-1042,6904,3290,2516,2197,3532,1573,4445,2711,3473,9685,4285,3346,3131,18506,18423,16476
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,-5035.5484320049,7423.66880649168,34020.2301176993,75800.6971024494,128474.659132189,149324.219708614,182002.890410725,218898.338506505,230627.398095336,265987.79619396,235145.501923092,168910.431587883,156388.958694861,203441.249758768,194356.831891105,180460.145632845,175356.841675245,194329.292645619
Active NFO,-38119.1263939657,-36652.5404568909,-39374.5242506512,-38664.3138628695,-42517.6523210537,-33929.9144391454,14464.5800131792,32323.6177278423,27754.3566270984,56736.5754609987,64302.8525130721,9818.12064602182,27830.341983146,76777.6353101819,83108.8550375015,55423.0632421185,57570.1035866734,60041.3571346481
Active CSE,33083.5779619608,44076.2092633826,73394.7543683505,114465.010965319,170992.311453242,183254.134147759,167538.310397546,186574.720778662,202873.041468237,209251.220732961,170842.64941002,159092.310941861,128558.616711715,126663.614448586,111247.976853603,125037.082390727,117786.738088571,134287.935510971
Active OI-after-tax,6618.04647677746,11856.6271039487,20970.1093967614,37558.8141251048,59357.3932351223,50687.5265505338,53080.9502589459,71800.1054801809,59386.2917409832,70090.1995593047,84481.5371277211,78907.0126502158,79853.4968558821,122394.489409108,118428.010895909,110531.021911324,102167.044144764,118765.621355833
Active NI,5941.46768980802,11509.0751437525,20790.0610471236,37090.2530125592,58787.1667273033,50543.0527619448,52679.3794075315,71036.9842418757,57872.8565850812,67694.1459809222,80950.6153140538,74966.8530886369,76670.1218816301,119558.423781042,115615.560950254,106842.060243907,102167.044144764,118765.621355833
Active RNOA,-1.31426528135734,1.59713847869676,0.616401162608585,0.495494310221734,0.462016351209377,0.339446116975824,0.291648941064388,0.328006626135481,0.257498858467954,0.263509080349666,0.359273455953038,0.467152986990985,0.510608277734547,0.60162080971405,0.609332894262564,0.612495471084263,0.582623655676771,0.611156556682452
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,50554.1488832018,66549.1042058013,100242.128971457,161273.632527041,228444.255877767,245864.566980172,258764.230133989,330454.237227709,301097.837133917,313403.988993146,354458.430808381,341044.02148973,355457.420067153,452425.325648596,451550.058410073,421551.611262808,417753.961104788,433198.183538701
Real COGS,33206.7555119994,40225.0072155386,60769.2452535129,95991.8467362263,128222.92855214,153359.300377323,158912.196429778,198074.593581895,183440.979838088,192837.911651436,218545.886765403,212068.784293018,219554.504085993,263404.921810533,255985.396313065,235516.123461612,224725.104469714,230005.864640635
Real gross profit,17347.3933712024,26324.0969902627,39472.883717944,65281.7857908144,100221.327325627,92505.2666028494,99852.0337042106,132379.643645814,117656.857295829,120566.07734171,135912.544042978,128975.237196713,135902.91598116,189020.403838063,195564.662097008,186035.487801196,193028.856635075,203192.318898066
Real SG&A,5854.06428614557,6481.05141304297,8478.89345397512,11321.2901142087,13195.0831467721,13997.2045914053,16977.2664022371,20260.0550466844,19819.1546996546,20864.5239188969,22294.2001417722,23916.102962172,25788.3539262242,27175.1768793593,28735.4617621431,27421.1742489383,27880.1772806825,28730.955240524
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),113.6604,185.3488,283.7492,381.3208,667.1,476.7504,100.75,110.3,113.05,154.12,225.74,223.97,115.81,141.5,138.2,171.21,233,254.63
Market cap = price×shares,2871049.4286768,4707144.073632,7346816.1264512,10000542.180048,17658096.974,12436766.4726144,2467433.189,2555902.0428,2487227.0682,3237563.08416,4514898.42264,4164868.17844,2029942.46334,2386386.0385,2256228.1858,2707266.17187,3590086.135,3820645.99711
Book/market = repCSE/mktcap,0.00732484776818776,0.00591271470867154,0.00650499470484025,0.00766108463127669,0.00669437936455179,0.00993417382822563,0.0452077083575291,0.0466977990554154,0.0515630445003212,0.0414036719950985,0.023731873891716,0.0217264979641909,0.0321876118067373,0.0264374661023646,0.0224587212937565,0.022955260419434,0.0158631291446716,0.0192985688953577
Premium fraction = 1−book/mkt,0.992675152231812,0.994087285291329,0.99349500529516,0.992338915368723,0.993305620635448,0.990065826171774,0.954792291642471,0.953302200944585,0.948436955499679,0.958596328004902,0.976268126108284,0.978273502035809,0.967812388193263,0.973562533897635,0.977541278706244,0.977044739580566,0.984136870855328,0.980701431104642
Buyback $ (nominal),124,475,912,831,665,22860,45000,35253,29722,32345,72738,66897,72358,85971,89402,77550,94949,90711
Annual premium reserve (real),191.594478967461,737.59873038975,1392.50486257425,1228.57174119418,964.158066283535,32558.8282416703,60822.0911557367,47517.2627528936,39361.0635132251,42390.4867820003,94771.091291112,85785.4194651008,90677.4368403896,103513.943659298,100076.158577554,83334.5670148329,99827.6490485086,92602.3508766993
Cumulative premium reserve,191.594478967461,929.193209357211,2321.69807193146,3550.26981312565,4514.42787940918,37073.2561210794,97895.3472768162,145412.61002971,184773.673542935,227164.160324935,321935.251616047,407720.671081148,498398.107921537,601912.051580836,701988.21015839,785322.777173223,885150.426221731,977752.777098431
Economic CSE (real),33083.5779619608,44076.2092633826,73394.7543683505,114465.010965319,170992.311453242,183254.134147759,167538.310397546,186574.720778662,202873.041468237,209251.220732961,170842.64941002,159092.310941861,128558.616711715,126663.614448586,111247.976853603,125037.082390727,117786.738088571,134287.935510971
Adjusted base = CSE+reserve,33275.1724409283,45005.4024727398,75716.452440282,118015.280778445,175506.739332652,220327.390268839,265433.657674362,331987.330808372,387646.715011172,436415.381057897,492777.901026067,566812.982023009,626956.724633252,728575.666029422,813236.187011993,910359.859563949,1002937.1643103,1112040.7126094
Economic CI (real),5953.91983399552,11640.2894890636,20719.3651800069,37750.2518967011,59515.5236399404,49865.4902375304,54211.0564063825,70549.1819534322,58758.1140234059,67489.0690798125,76340.9674667218,74201.3280609631,76144.4103083198,119760.014543857,102894.502341995,94246.70938963,94504.9898298213,112966.55061039
