ticker,tier,n_all,n_fit,shortest,longest,longest_fit,span,a_pp,b_pp,t_b,r2,b_sqrt_pp
DOW,2,7,7,3.203,26.738,26.738,23.535,-0.027388,0.475123,5.29,0.8484,0.276379
DRI,2,2,2,0.698,21.509,21.509,20.81,0.640431,0.145112,,,
DTE,2,11,11,0.575,26.631,26.631,26.056,0.59916,0.046752,0.883,0.0797,0.058047
DUK,1,61,61,0.988,26.574,26.574,25.585,0.21194,0.211575,14.554,0.7821,0.140469
DVN,2,3,3,1.826,5.656,5.656,3.83,1.813655,-0.776173,-1.778,0.7597,-0.814149
EBAY,1,7,7,0.794,24.742,24.742,23.948,0.361558,0.206078,3.411,0.6994,0.166732
ECL,1,6,6,1.284,28.999,28.999,27.715,0.259092,0.123735,16.353,0.9853,0.090056
ED,1,29,29,1.24,34.825,34.825,33.585,0.258349,0.206055,8.604,0.7328,0.121194
EFX,1,4,4,1.322,10.867,10.867,9.544,0.302897,0.339228,7.211,0.963,0.338427
EIX,1,10,10,0.783,26.532,26.532,25.749,0.661291,0.14403,3.385,0.5889,0.106936
EL,1,4,4,0.57,20.57,20.57,20.0,0.293543,0.175465,4.33,0.9036,0.170671
ELV,2,6,6,5.739,26.494,26.494,20.756,0.290753,0.205624,9.652,0.9588,0.112994
EMR,2,3,3,2.341,25.339,25.339,22.998,0.085851,0.158296,15.326,0.9958,0.102249
EQIX,2,3,3,1.738,25.492,25.492,23.754,0.350928,0.178545,9.445,0.9889,0.125414
EQT,2,2,2,1.117,3.455,3.455,2.338,0.664864,0.023821,,,
ES,2,3,3,1.41,23.411,23.411,22.001,0.420814,0.171532,3.346,0.918,0.130141
ETN,1,6,6,1.073,26.053,26.053,24.98,0.235536,0.111067,3.81,0.784,0.087554
ETR,1,19,19,1.038,26.075,26.075,25.038,0.25724,0.190183,14.108,0.9213,0.138613
EVRG,2,2,2,1.347,26.571,26.571,25.224,0.55415,0.064623,,,
EXC,1,24,24,1.571,26.574,26.574,25.002,0.360629,0.181387,4.609,0.4912,0.103804
EXPE,2,4,4,0.95,4.569,4.569,3.619,0.474236,0.097222,0.738,0.2139,0.149628
EXR,2,3,3,2.623,5.572,5.572,2.949,0.451761,0.196047,56.432,0.9997,0.201277
F,1,12,11,1.492,70.738,20.493,19.001,0.654305,0.412344,6.824,0.838,0.3149
FANG,2,2,2,6.571,26.571,26.571,20.0,0.519282,0.115805,,,
FCX,2,8,8,1.035,16.57,16.57,15.535,0.634996,0.067831,0.922,0.124,0.076683
FDS,2,2,2,0.531,5.533,5.533,5.002,0.713086,0.169698,,,
FDX,1,19,19,1.492,38.459,38.459,36.966,0.204989,0.323471,6.805,0.7315,0.218791
FE,2,2,2,0.903,9.905,9.905,9.002,0.607669,0.135682,,,
FIS,2,2,2,0.903,5.905,5.905,5.002,0.677662,0.082403,,,
FISV,1,5,5,1.536,22.866,22.866,21.331,0.593824,0.162274,2.188,0.6148,0.10745
FITB,2,3,3,0.709,11.532,11.532,10.823,0.338298,0.307567,26.771,0.9986,0.321104
FRT,2,2,2,0.903,18.286,18.286,17.383,0.478217,0.131233,,,
GD,1,7,7,0.616,23.617,23.617,23.001,0.163047,0.141862,4.708,0.816,0.119743
