Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Annual premium reserve (real),12502.3241509948,14109.2604545581,12809.8838847924,5196.35996230014,5789.62879523808,7973.10191543935,16849.9810913555,19073.5143815566,14374.7989238998,12813.0115204041,23473.4893880016,27681.3348384433,31989.0633502086,33992.270808838,22670.2339980406,16860.984431225,17349.859055533,0
Cumulative premium reserve,12502.3241509948,26611.5846055529,39421.4684903453,44617.8284526454,50407.4572478835,58380.5591633229,75230.5402546783,94304.054636235,108678.853560135,121491.865080539,144965.354468541,172646.689306984,204635.752657192,238628.023466031,261298.257464071,278159.241895296,295509.100950829,295509.100950829
Economic CSE (real),63624.2573093524,73388.8723117101,87869.9196320016,100366.159499546,117528.588530693,130803.237179137,118353.569072117,107058.751757749,103776.645842121,116801.025955937,142065.120902791,162275.855365982,169163.741770099,186666.308670251,218596.45281809,265087.263156489,308296.455822135,271701.687612523
Adjusted base = CSE+reserve,76126.5814603472,100000.456917263,127291.388122347,144983.987952191,167936.045778577,189183.79634246,193584.109326796,201362.806393984,212455.499402255,238292.891036476,287030.475371331,334922.544672966,373799.494427292,425294.332136282,479894.710282162,543246.505051786,603805.556772964,567210.788563352
Economic CI (real),23424.696781635,12769.4345338509,33936.0661488962,24055.0902903106,30893.550009608,33160.6826241853,17203.1313555628,26198.3830759544,37490.9529212091,19783.9741756713,53946.3931483862,64948.538854009,77301.8406057431,78554.9323221896,69760.839392697,90487.5885083399,113154.709630448,132377.862299383
ROE unadjusted,,0.186397238996984,0.42088949991318,0.255584268449407,0.283563971035416,0.267067521687154,0.138090800041921,0.23244854566515,0.355641921119533,0.179383289472598,0.416789864592272,0.426814290012995,0.466461106480315,0.441530625223899,0.344274609078307,0.374160160947389,0.394691045054478,0.456476848410107
ROE ADJUSTED (premium),,0.145002546474139,0.298612263391871,0.176696773958181,0.197453321484609,0.185711790345978,0.089888055402575,0.132667870202973,0.181195236634454,0.0877827834567075,0.205383566001546,0.208853520316963,0.218144311425337,0.196610034293489,0.15413540403961,0.176881914543547,0.19729655417809,0.226090545749579
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0627282236458418,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.940974350497022,0.885432728293293,0.833169486414587,0.783991116332904,0.73771553148679,0.694171393092347,0.653197475748684,0.614642070488913,0.57836242306645,0.544224205396836,0.512101018198046,0.48187392298777,0.453431001704869,0.426666942324453,0.401482648932303,0.377784874814898,0.355485877206547
RI without = CI − r·CSE(prior),,8778.39789204929,29332.5125534111,18543.1663198923,24597.7591100463,25788.3230380519,8998.07664018983,18774.273925915,30775.3475977044,13274.2495260715,46619.6722701584,56037.0461777452,67122.5644580255,67943.5912956674,58051.5934352858,76775.421327779,96526.2565015037,113038.973269351
RI with = (CI+Δres) − r·adjbase(prior),,22103.409761171,40473.0990074962,21266.6875902826,27588.590783515,30599.4547018278,22185.9489597791,33128.7101533787,39234.6206916728,19270.0296147818,62472.1927742375,74624.9618401872,88281.8076696715,89099.4248458899,65753.1154091841,77245.630226529,96427.6804222707,94502.2122955262
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,349594.636377845,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,349594.636377845,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
