Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Real COGS,1974.37306941845,1702.77168325277,1755.8455879774,1879.77217176212,2023.87907672239,2141.18820653168,2269.51780171161,2385.98238474455,2554.84179656427,2710.9785475563,2839.89006539842,2981.60462970308,3633.00492901384,4549.3865539211,4862.50985544412,4269.07934891468,3990.85555928961,3869.10544218697
Real gross profit,801.961668179264,702.502859888971,724.266863677221,791.983762575632,828.206033524395,850.588400739192,910.710795231819,955.306346008937,1034.78356340023,1100.97448411798,1161.31763064749,1212.41992503628,1464.3553440387,1999.9436185408,2213.97491816644,1825.78035395895,1682.98860553287,1636.83273850961
Real SG&A,622.221192904883,564.352899182892,568.666797020032,605.654009882679,606.611835744837,612.526592001957,588.599971732225,597.577598218693,621.843083439233,650.327564184889,677.532820279801,697.491612500342,777.829118395277,879.82247787947,936.727500661188,910.660804277622,927.17587682386,1032.87581106593
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),17.97,19.08,22.54,30.1,42.32,58.14,63.44,80.78,104.34,129.65,148.65,212.38,372.5,566,302.33,398.71,340.94,228.75
Market cap = price×shares,871.32936,935.85492,1130.62894,1474.5087,2033.81456,2763.3942,2882.77704,3574.83812,4484.95056,5503.51285,6197.66445,8678.9087,15222.2125,22911.68,12034.54798,15548.49387,13033.45432,8529.63
Book/market = repCSE/mktcap,0.277431257452406,0.269472323765739,0.252233062422761,0.189721498421813,0.138470343136889,0.10356177196869,0.084762711999399,0.0715397428961063,0.0457552423944669,0.0405461032038837,0.0360764932990201,0.0472617023843101,0.0420090049327586,0.046761869928351,0.102637340600806,0.0844317791148218,0.0977074050158638,0.13895432744445
Premium fraction = 1−book/mkt,0.722568742547594,0.730527676234261,0.747766937577239,0.810278501578187,0.861529656863111,0.89643822803131,0.915237288000601,0.928460257103894,0.954244757605533,0.959453896796116,0.96392350670098,0.95273829761569,0.957990995067241,0.953238130071649,0.897362659399194,0.915568220885178,0.902292594984136,0.86104567255555
Buyback $ (nominal),7.718,1.171,13.683,76.564,81.761,96.179,136.466,99.219,178.414,146.006,187.469,23.188,76.199,138.039,471.229,306.359,306.3,346.286
Annual premium reserve (real),8.68036722917165,1.33627425369213,15.7247510996583,92.4269040243879,102.815863497237,124.030671803414,176.806447195449,130.251550665555,237.721816147966,191.522720201478,241.16676050238,28.9589933734538,94.5218478065677,162.736973266726,484.226206887559,308.496530119487,295.256410332866,310.374741377818
Cumulative premium reserve,8.68036722917165,10.0166414828638,25.741392582522,118.16829660691,220.984160104147,345.014831907561,521.82127910301,652.072829768564,889.79464591653,1081.31736611801,1322.48412662039,1351.44311999384,1445.96496780041,1608.70194106714,2092.9281479547,2401.42467807418,2696.68108840705,3007.05582978487
Economic CSE (real),436.048842087962,455.03712784163,501.09782316921,477.926408409047,473.346677374046,475.964157444863,411.758046373887,427.60808193422,358.74137718833,384.982822577641,393.108082976529,415.909159654069,682.363068994194,1086.99886639028,1189.45266199615,1203.89122438664,1130.71942931335,1016.12051178616
Adjusted base = CSE+reserve,444.729209317134,465.053769324494,526.839215751732,596.094705015957,694.330837478193,820.978989352425,933.579325476897,1079.68091170278,1248.53602310486,1466.30018869565,1715.59220959692,1767.35227964791,2128.3280367946,2695.70080745741,3282.38080995085,3605.31590246082,3827.4005177204,4023.17634157103
