Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Economic CI (real),-1637.80532674118,969.610106875284,1112.32257277615,-1790.40145105925,-1171.53500908488,80.5065684154879,-8133.07980857748,-13372.8107571677,-12726.0821047666,-11411.4565839525,-3432.36078329141,-9061.47918475171,-10918.5959503242,-9116.74796907725,-7366.28915688881,-7399.0908531806,-8571.74279190404,-5119.88664544394
ROE unadjusted,,0.0357206086077763,0.0381211419885237,-0.0638529883769399,-0.03946729787384,0.00239076764775085,-0.253411389921269,-0.526989000932511,-0.580084064729762,-0.532184281680926,-0.142059426688454,-0.334595683061185,-0.42117203341081,-0.355728876901014,-0.256091771494071,-0.248341384708344,-0.299530413742882,-0.176198422129497
ROE ADJUSTED (premium),,0.0289522763364264,0.0288246043167059,-0.0426197294088251,-0.0249165007556057,0.00147357049826017,-0.140393074806049,-0.232225848541617,-0.214431994240007,-0.183811793909474,-0.0510034684648217,-0.123716980515769,-0.145365022242761,-0.119819609028804,-0.0919815505704566,-0.0897720732085927,-0.104229826810165,-0.0612178779949187
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0551446658759795,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.947737340992765,0.898206067512036,0.851263430087425,0.806774139715436,0.764609977955633,0.724649427404208,0.686777321479993,0.650884512513582,0.616867557182994,0.584628418389313,0.554074182713093,0.525116792637246,0.497672792764673,0.471663089299234,0.447012722096889,0.423650648630043,0.401509539242497
RI without = CI − r·CSE(prior),,-366.318253752343,-545.473275537632,-3350.69684673372,-2703.68970265907,-1661.13299899616,-10105.3166776906,-14940.2408992811,-13957.3410423942,-12599.7626309433,-4608.95344579534,-10549.6359580669,-12417.2813108563,-10477.2378516846,-8832.33404992278,-9105.43648197087,-10151.3609050317,-6696.44814244517
RI with = (CI+Δres) − r·adjbase(prior),,-706.981090331087,5225.43197909417,-1042.30510857603,178.121026031635,795.179559034116,-5119.92238386417,-10028.950111395,-12020.9069849276,-12201.9092517554,-4497.79555152254,-9365.00614923435,-12642.014153074,-13134.024508962,-10018.1338951851,-10966.3882825032,-12105.0385956654,-8747.16977113206
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,-64710.1470456417,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,-64710.1470456417,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
