ticker,tier,spread_30y_pp,a_pp_1y,b_pp,n_fit,longest_fit_yrs,extrapolation_factor
HII,2,0.9356,0.5346,0.117911,3,3.7,8.1
HON,2,0.6787,0.4865,0.05653,8,23.8,1.26
HPE,2,1.4475,-0.4164,0.548009,2,19.16,1.57
HPQ,1,1.3664,0.3458,0.30008,8,15.07,1.99
HRL,2,0.7892,0.2378,0.162133,3,24.8,1.21
HST,3,1.338,0.6278,0.208791,1,5.32,5.64
HSY,3,0.7226,0.0124,0.208791,1,0.99,30.36
HUBB,2,0.7261,0.5383,0.055217,2,4.57,6.57
HUM,1,1.422,0.549,0.256661,8,26.57,1.13
HWM,2,1.175,0.3635,0.238595,2,10.46,2.87
IBM,1,1.3232,0.2353,0.319845,20,26.49,1.13
ICE,1,0.9526,0.3222,0.185357,13,35.84,0.84
IEX,3,1.0325,0.3224,0.208791,1,4.83,6.2
IFF,1,1.0734,0.3985,0.198436,6,24.32,1.23
INTC,1,1.3272,0.3717,0.280915,32,36.48,0.82
INVH,2,1.6698,0.1972,0.432976,4,7.41,4.05
IP,2,1.2511,0.2905,0.282416,6,21.99,1.36
IQV,3,1.8491,1.139,0.208791,1,0.75,39.84
IRM,2,1.9923,1.0141,0.287595,7,5.91,5.08
IT,2,2.9773,0.6025,0.698213,2,4.13,7.26
ITW,2,2.1573,-5.3987,2.22157,2,16.06,1.87
IVZ,3,1.049,0.3389,0.208791,1,17.3,1.73
JBL,3,1.3001,0.59,0.208791,1,0.74,40.71
JCI,2,1.0495,0.139,0.267699,2,6.3,4.76
JNJ,1,0.5305,0.0194,0.150271,21,34.05,0.88
KDP,1,1.1897,0.4904,0.205598,8,25.67,1.17
KEY,2,1.4112,0.4293,0.288686,6,6.44,4.66
KEYS,3,1.1582,0.4481,0.208791,1,0.64,46.66
KHC,1,1.4876,-0.0015,0.437797,7,19.78,1.52
KIM,2,0.8681,0.4239,0.130595,6,21.04,1.43
KKR,2,1.1862,0.6317,0.163009,2,25.35,1.18
KLAC,1,0.8877,0.3345,0.162651,6,35.9,0.84
KMB,1,0.7452,0.1251,0.182322,8,20.72,1.45
KMI,1,1.2576,0.1378,0.32925,24,25.95,1.16
KO,1,0.6622,0.1026,0.164528,18,33.8,0.89
KR,1,1.1174,0.0988,0.299484,14,23.43,1.28
L,2,0.9802,0.4184,0.165156,2,16.76,1.79
LDOS,2,1.4475,0.3217,0.330999,4,6.57,4.57
LEN,3,1.1212,0.4111,0.208791,1,1.28,23.46
LH,2,0.8583,0.3108,0.160964,3,18.49,1.62
LHX,3,0.9584,0.2482,0.208791,1,1.84,16.33
LLY,1,0.6679,0.2544,0.121573,10,36.53,0.82
