Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
NBC,0.0368377361811348,0.0538802708661417,0.0375625929243171,0.0458323938068786,0.0506074624505929,0.0353415622508793,0.034115392270906,0.0264770586210021,0.02939668936049,0.0284184732215252,0.0292801839629522,0.0260340024401317,0.0287320063050638,0.023182653189455,0.0258478164975739,0.0304592090835963,0.0292066790915538,0.0286974111724332
Spread,0.0240463257871436,0.0228029612402504,0.0609746755952317,0.0835820687335031,0.115943756714915,0.179095877825907,0.23272841495219,0.236343453726229,0.331507142756078,0.457017711953378,0.582651778470498,0.573496082186601,0.520904422281978,0.572534237906182,0.48291853265788,0.430760846226794,0.286019758100717,0.254148986280486
ROCE,0.0748386213711079,0.114028907726455,0.168178824484231,0.205587115077533,0.270200874838947,0.533066503808628,1.09932148790982,7.81857093302355,-3.38655547403207,-1.60153904175305,-1.23134093683211,-0.694128994738228,-1.21304960064532,-1.13367078613866,-1.54614688910002,-1.33095079061654,-2.71766442064802,-5.36589265003206
Reported ROE (memo),0.130055689936435,0.137214458825349,0.176716607549367,0.216951614705554,0.255104910839849,0.430043124101581,0.680647929628835,1.10972134262191,1.83637202861759,5.9353507565337,-5.92172523961661,-3.60783055198973,3.89996968778418,-9.68926886792453,10.9507042253521,14.5047892720307,2.22981927710843,1.1048154218372
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),1591,1738,4177,5102,5727,10789,9530,10031,10284,12212,14667,12923,7242,21794,14485,16334,9578,9466
Reported CI (nom) = NI+OCI,2235,3023,3783,4176,4932,5431,5893,6111,7090,8064,10349,10503,12195,15729,16387,14666,13677,13504
ΔCSE (nom),,1616,-504,-991,-121,-5255,-3200,-3006,-1983,-2879,-3332,-1238,6415,-4995,3258,-518,5596,6173
Clean-surplus residual (dirty),,331,-110,-65,674,103,437,914,1211,1269,986,1182,1462,1070,1356,1150,1497,2135
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,37785.5846785118,35330.5037610953,34478.2776754426,31515.7228784075,29413.5286923443,28497.7089552014,27227.8111755851,31620.1999273924,26565.7780185599,24786.8187802242,25134.1198547547,26144.5936952731,31424.4402606814,34113.8951590594,40439.3458737084,39630.6492890301,57548.7101718567,62012.660020268
Active NFO,17040.6820595049,12686.8344140955,13307.2461245049,12349.9555868185,11282.6388088789,18112.5759707015,21878.993076446,30822.038948864,28796.8984538185,31273.2709920472,35948.2163680243,45635.9081028241,43938.1290216629,50300.2268814816,52360.0129339486,51795.7863010816,63113.1678992865,64811.7202847169
Active CSE,20744.9026190069,22643.6693469999,21171.0315509377,19165.767291589,18130.8898834654,10385.1329844999,5348.81809913907,798.160978528413,-2231.12043525866,-6486.45221182304,-10814.0965132697,-19491.314407551,-12513.6887609815,-16186.3317224222,-11920.6670602402,-12165.1370120515,-5564.45772742978,-2799.06026444892
Active OI-after-tax,2300.53987907415,2709.25722034783,3397.39530539665,4078.59033788072,4898.8590636696,6110.97575640669,7265.57279644468,8310.43714543915,9587.69109005635,12032.4187512937,15380.3712867576,15674.4704706586,17272.0171152278,20322.2235673173,20574.1783624013,18278.4502570731,18140.874872485,17540.0574832055
Active NI,1672.79972901951,2025.68714568248,2897.54063627817,3512.56230992819,4327.87334380566,5470.84902521436,6519.16236514928,7494.36021337127,8741.15761166387,11143.6801370567,14327.8008983618,14486.3851277521,16009.5865151447,19156.1308521731,19220.786356274,16700.7915724792,16297.5488311992,15680.1288974022
Active RNOA,0.0608840619682784,0.0766832321063921,0.0985372685195487,0.129414462540382,0.166551219165508,0.214437440076786,0.266843807223096,0.262820512347231,0.360903832116568,0.485436185174904,0.61193196243345,0.599530084626733,0.549636428587042,0.595716891095637,0.508766349155454,0.46122005531039,0.315226437192271,0.282846397452919
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,111357.241053991,101703.689180761,101304.614277649,102750.871473122,107538.235562786,111566.1068701,117604.183024846,123599.531834488,129328.329736456,134664.709434623,141835.795495527,142725.512729366,163387.458131897,173091.822490646,173117.884257406,163100.693001667,166044.331518312,166873.384275543
Real COGS,73883.0488633662,67259.4332281616,66585.3953249548,67337.2534081901,70362.926102242,73465.287624189,77464.4173244957,81340.357747899,85150.6636994125,88813.7941355677,93125.3331182013,94075.1796446055,107915.369269661,114883.446293417,115070.606280891,108658.656207263,110553.959359265,111278.646334908
Real gross profit,37474.1921906245,34444.2559525993,34719.2189526938,35413.618064932,37175.3094605442,38100.8192459111,40139.7657003506,42259.1740865891,44177.6660370431,45850.9152990558,48710.4623773259,48650.3330847607,55472.0888622357,58208.3761972288,58047.2779765148,54442.0367944046,55490.3721590468,55594.7379406356
Real SG&A,27876.8000764437,24439.2538889093,23612.4657218179,23394.9991898743,23747.7752718313,21759.1563302582,23018.612335824,22427.4526409646,22343.8119655679,22777.318995488,24370.961154985,24389.9093469752,29110.6955530132,27897.2391587364,27714.8311366515,27240.2483160073,28675.7854775535,31110.355313103
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),28.93,35.06,42.04,61.85,82.34,104.97,132.25,134.08,189.53,171.82,218.38,265.62,415.01,315.86,346.55,388.99,344.1,0
Market cap = price×shares,48775.98,59321.52,69702.32,97104.5,124415.74,150526.98,178008.5,172024.64,233880.02,203434.88,249608.34,291385.14,447380.78,334179.88,355213.75,389767.98,341691.3,0
Book/market = repCSE/mktcap,0.364462179950049,0.326913403432683,0.270995283944638,0.184316895715441,0.14288385054817,0.0831877448149162,0.0523682857841058,0.0367156704992959,0.0185265932506761,0.00714725026504796,-0.00752378706576872,-0.0106937505460985,0.00737403157998875,-0.00507511104498571,0.00439735229844002,0.00267851658825335,0.0194327452879251,
Premium fraction = 1−book/mkt,0.635537820049951,0.673086596567317,0.729004716055362,0.815683104284559,0.85711614945183,0.916812255185084,0.947631714215894,0.963284329500704,0.981473406749324,0.992852749734952,1.00752378706577,1.0106937505461,0.992625968420011,1.00507511104499,0.99560264770156,0.997321483411747,0.980567254712075,0
Buyback $ (nominal),70,213,2608,3470,3984,8546,7000,7000,6880,8000,9963,6965,791,14809,6696,7951,649,314
Annual premium reserve (real),69.4930658152299,220.336648814086,2832.54879488254,4131.37523751198,4912.32936569984,11091.3198162868,9379.12588861648,9415.27180660085,9231.92913647017,10600.3509913918,13158.0637273651,9115.11611596135,971.057931874828,17044.0397511443,7332.13441829623,8471.53039117206,662.441194327778,0
Cumulative premium reserve,69.4930658152299,289.829714629316,3122.37850951186,7253.75374702384,12166.0831127237,23257.4029290105,32636.5288176269,42051.8006242278,51283.729760698,61884.0807520897,75042.1444794548,84157.2605954162,85128.318527291,102172.358278435,109504.492696732,117976.023087904,118638.464282231,118638.464282231
Economic CSE (real),20744.9026190069,22643.6693469999,21171.0315509377,19165.767291589,18130.8898834654,10385.1329844999,5348.81809913907,798.160978528413,-2231.12043525866,-6486.45221182304,-10814.0965132697,-19491.314407551,-12513.6887609815,-16186.3317224222,-11920.6670602402,-12165.1370120515,-5564.45772742978,-2799.06026444892
Adjusted base = CSE+reserve,20814.3956848222,22933.4990616292,24293.4100604496,26419.5210386128,30296.9729961891,33642.5359135103,37985.346916766,42849.9616027562,49052.6093254393,55397.6285402667,64228.0479661851,64665.9461878652,72614.6297663095,85986.0265560131,97583.8256364914,105810.886075852,113074.006554802,115839.404017782
Economic CI (real),1552.51991248436,2582.03288255741,3560.51919935528,3940.23480572512,4898.98230812097,5535.96653163502,5880.07067130454,6240.47822659588,7555.81312325003,10388.3064597,13315.8397316423,13529.4864758401,15179.7251541084,18349.9714084595,18431.1022911874,16191.1987241486,15122.3287860359,15019.4569000033
ROE unadjusted,,0.119019030383407,0.162526235550446,0.19536675783855,0.262703560006853,0.38827059139822,0.747437263538841,2.03042117038208,-10.5457458517229,-2.38330252703489,-1.53935461160594,-0.892875962724199,-0.948584511876143,-1.27874273950924,-1.31149557686369,-1.34445988811932,-1.70588544275754,-3.59166009198228
ROE ADJUSTED (premium),,0.118041469081977,0.150783494645036,0.155393692312057,0.172753354786524,0.173162622798788,0.164183846819471,0.15439981218328,0.16443094130965,0.198913983768165,0.222625110603645,0.209931992016169,0.221148914165038,0.2313984296656,0.200807508107151,0.159209633208629,0.138176085195183,0.131223914426288
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0548806713262307,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.947974521841193,0.898655694060038,0.85190270187643,0.807582056466529,0.765567213826385,0.725738213464362,0.68798133589076,0.652188777926708,0.618258344905263,0.586093158885894,0.55560138204925,0.526695954482443,0.499294345606185,0.473318318534034,0.448693706690979,0.425350202053533,0.403221154406753
RI without = CI − r·CSE(prior),,1443.53870022903,2317.81942430273,2778.35438154085,3847.15213267625,4540.93112308847,5310.127601303,5946.93149851323,7512.00951292199,10510.7518469967,13671.8205835527,14122.971352275,16249.4215738254,19036.7310484296,19319.419042423,16845.412935071,15789.9596720329,15324.838075651
RI with = (CI+Δres) − r·adjbase(prior),,1660.06152293866,5134.46216987613,6738.37139031622,8361.39062310426,14964.5681307383,13412.8716038707,13571.0886938448,14436.1076006577,18296.6173210083,23433.6444148365,19119.7242014438,12601.8725472473,31408.871529923,21044.2658474146,19307.2632538081,9977.79751889759,8813.87951072914
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,117139.184662151,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,117139.184662151,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
