Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
NBC,-0.0115577205448354,-0.00728683656485365,-0.00783390967741936,-0.00822498368920522,-0.000986800087393489,-0.00866932024409658,-0.00650857654373928,-0.00454237948265726,-0.0215394926377787,-0.0168184975609756,-0.0878891891891892,0.0299532261116367,-0.0691365356149137,-0.717401383783784,0.157510980258679,0.600120827027027,0.128257642742367,0.0198634845463609
Spread,0.311132943060557,0.346933014317114,0.344023342067125,0.314895588443008,0.34841635985005,0.385333077393639,0.381183522242867,0.384443565871647,0.399514866706053,0.225835739686933,0.514252542546275,0.190215611188867,0.587882119397766,1.05631298988592,0.146325562401395,-0.262742426534828,0.0579911726253964,0.152357485223983
ROCE,0.250262468998802,0.208112187449808,0.217825055402227,0.224442729111069,0.237093375859448,0.259908177257934,0.336307303078918,0.306800410891449,0.29404893898972,0.172399848620986,0.391688980310847,0.29286109483188,0.356113155915243,0.334990487957522,0.334397434237247,0.334532563262425,0.175778257554334,0.18303960208588
Reported ROE (memo),0.171023375667219,0.195484790387238,0.216702224931423,0.21414121953569,0.222750089637863,0.24879896526238,0.257574565200283,0.306738456518192,0.341742564681228,0.197003668976763,0.445685840707965,0.315207945375543,0.448578366100102,0.395654734637786,0.36203941730934,0.395010395010395,0.24362370392795,0.209081735620585
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),1115.9,1246.6,2414,2433,2377,3427,3433,4260,4356,5497,5618,4519,2246,5851,7492,6419,5285,2553
Reported CI (nom) = NI+OCI,1854.172,2121.5,2228,2372,2759,2778,4519,4078,4027,1841,4260,2483,5347,6364,5301,5753,2961,2967
ΔCSE (nom),,1060.9,89.2999999999993,538,775,-332,1883,-449,149,-2595,-772,-985,4712,2514,-1277,426,-1217,1652
Clean-surplus residual (dirty),,186.000000000001,275.299999999999,599,393,317,797,-267,478,1061,586,1051,1611,2001,914,1092,1107,1238
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,10278.8638702692,8951.81843302442,9810.58115328728,11281.7930931273,10634.9934763131,11242.6277882247,13004.7793821782,14157.5082415653,15689.9770860185,13249.4010466704,12733.169304645,18802.7869540304,14512.2019702354,20847.0821261617,17664.784519074,16993.5029408656,16829.0091028565,17452.262543779
Active NFO,-4128.5656506803,-6999.04453122134,-5773.12793690734,-4921.88278439332,-6584.29654829003,-5335.38873259665,-6594.52137188472,-4750.22997662568,-3249.78529291775,-1915.12584276822,-1552.02334377701,5474.65155654126,-4444.89080710042,-423.691753088107,1615.66280168821,395.281664323582,1943.43297105388,2032.68102267229
Active CSE,14407.4295209495,15950.8629642458,15583.7090901946,16203.6758775207,17219.2900246031,16578.0165208214,19599.3007540629,18907.738218191,18939.7623789363,15164.5268894386,14285.192648422,13328.1353974891,18957.0927773358,21270.7738792498,16049.1217173858,16598.221276542,14885.5761318026,15419.5815211067
Active OI-after-tax,3079.29293114472,3040.45091470898,3298.21370933679,3459.79431057664,3694.91110155417,4234.69042294658,4872.56500884674,5378.45417728254,5930.42495821052,2769.35326659582,5428.95676359195,4139.78774167795,7528.1406830244,7065.31808592066,5367.20705511064,5733.2408409487,3134.38300922033,3005.64557997626
Active NI,3031.57612310315,2989.45002109983,3252.98754652288,3419.31190495482,3688.4137171449,4188.43622939696,4829.6440617285,5356.87683009881,5860.42623181935,2737.14372728026,5292.5506903047,3975.80426572245,7220.8363314349,6761.36103595748,5112.72242344925,5496.02408164622,2885.12287752516,2965.26945189472
Active RNOA,0.299575222515722,0.339646177752261,0.336189432389705,0.306670604753803,0.347429559762657,0.376663757149543,0.374674945699128,0.379901186388989,0.377975374068275,0.209017242125958,0.426363353357085,0.220168837300504,0.518745583782852,0.338911606102139,0.303836542660074,0.337378400492199,0.186248815367764,0.172220969770344
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,29954.5167514228,29221.9829860219,29971.1005694877,34054.6996567855,36414.3103619981,39352.2078475602,43267.3560250953,45206.7741690867,46962.6103541123,48574.7981179338,51275.7577183492,48431.5024052301,55082.5116212127,53488.2210452581,56330.4300299965,54871.5049810481,48204.8406301737,47015.1216799346
Real COGS,16513.7939800594,15697.5562332612,16261.5977887338,19242.3430446789,20541.2214142524,21733.6755668762,23377.7479336925,24302.6904006966,26028.3602888381,27280.2002453138,28370.3050923699,27401.744616728,30394.44531867,28892.3422220704,31812.8295022678,30420.6632205783,27604.6593247873,26839.2932440283
Real gross profit,13440.7227713634,13524.4267527608,13709.5027807539,14812.3566121066,15873.0889477457,17618.532280684,19889.6080914027,20904.0837683901,20934.2500652741,21294.59787262,22905.4526259793,21029.757788502,24688.0663025427,24595.8788231877,24517.6005277287,24450.8417604698,20600.1813053864,20175.8284359062
Real SG&A,9606.13973720151,9722.83334189382,5984.68514130498,6527.47918499612,7266.17475757329,8118.45433309678,9443.56952032977,10040.8300299575,9873.76919875979,10588.5773076816,11730.6223846795,12345.1579801477,12257.460431044,12543.5661171003,13546.7111833857,13130.8295573004,11865.6627943456,11511.0949240066
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
